algo allgather allreduce comm comp d gram mm nnls reducescatter total_time
20-16-nat-16 5.59809 1.23889 18.4609 8.99646 33.886 0.78532 1.69249 6.51866 11.6239 27.45736
20-16-nat-48 13.1655 1.26623 45.5795 18.1027 69.0891 0.703692 3.24543 14.1536 31.1477 63.6822
20-16-nat-8 6.83795 1.23625 17.8659 9.09005 33.9113 0.741386 1.66786 6.6808 9.79169 26.95595
20-16-rnd-16 5.52887 1.25546 20.8505 9.24637 37.1205 0.804793 1.6782 6.76337 14.0661 30.09687
20-16-rnd-48 12.1997 1.25513 44.4512 18.2115 68.5711 0.755008 3.32142 14.1351 30.9963 62.6627
20-16-rnd-8 6.62082 1.14392 18.885 8.83908 34.3614 0.676687 1.70104 6.46136 11.1202 27.72408
20-32-nat-16 4.45529 1.11441 17.2803 9.75145 33.2079 0.65145 2.60044 6.49956 11.7106 27.03175
20-32-nat-48 12.5089 1.16931 44.4275 19.9112 70.0272 0.677851 5.1658 14.0676 30.7493 64.3387
20-32-nat-8 6.24702 1.31257 17.2238 8.84686 32.9044 0.657676 1.85989 6.32929 9.66425 26.07066
20-32-rnd-16 5.44019 1.28691 17.436 9.68254 33.7121 0.780643 2.22247 6.67943 10.7089 27.11854
20-32-rnd-48 11.808 1.13859 43.9777 19.4311 68.8725 0.607241 4.75569 14.0682 31.0311 63.4088
20-32-rnd-8 6.568 1.31334 18.0582 9.06961 33.9109 0.785892 1.76157 6.52215 10.1768 27.12781
20-4-nat-16 4.73508 1.33052 17.8968 8.33114 33.3591 0.761022 1.01995 6.55017 11.8312 26.22794
20-4-nat-48 11.6408 1.13437 43.705 16.6716 65.8247 0.768337 1.67063 14.2326 30.9298 60.3766
20-4-nat-8 6.70214 1.27658 18.4169 8.66068 34.2193 0.697509 1.48713 6.47605 10.4382 27.07758
20-4-rnd-16 5.78067 1.342 18.9661 8.34167 34.3209 0.809681 1.03745 6.49455 11.8434 27.30777
20-4-rnd-48 11.4111 1.26554 43.6973 16.5414 65.9728 0.708869 1.47251 14.36 31.0207 60.2387
20-4-rnd-8 6.16352 1.30356 15.8166 9.78597 32.8727 0.759348 1.48896 7.53767 8.34957 25.60257
20-64-nat-16 4.41276 1.16162 19.6109 10.9463 36.782 0.725412 3.42206 6.7988 14.0365 30.5572
20-64-nat-48 12.7806 1.36281 45.1372 22.1654 72.7215 0.70125 7.10458 14.3596 30.9938 67.3026
20-64-nat-8 7.00963 1.33552 14.9081 9.54188 31.1063 0.708332 2.45507 6.37848 6.56291 24.44998
20-64-rnd-16 5.62994 1.11069 20.6658 10.9341 37.4634 0.725541 3.41639 6.79213 13.9251 31.5999
20-64-rnd-48 12.1193 1.40862 45.012 22.3664 72.8538 0.790087 7.18309 14.3932 31.484 67.3784
20-64-rnd-8 6.65779 1.32122 17.917 9.7179 34.7148 0.733171 2.6276 6.35713 9.93794 27.6349
20-8-nat-16 6.36289 1.2965 19.1852 8.63777 34.3136 0.766981 1.17382 6.69697 11.5258 27.82297
20-8-nat-48 12.0433 1.07302 44.0518 17.0188 66.4459 0.664764 2.22713 14.1269 30.9355 61.0706
20-8-nat-8 6.61339 1.29656 15.8806 8.7418 31.5487 0.736736 1.59117 6.41389 7.97061 24.6224
20-8-rnd-16 4.61128 1.21356 17.0466 8.56138 32.4599 0.710326 1.32137 6.52969 11.2217 25.60798
20-8-rnd-48 12.4139 1.21422 44.7101 17.2532 67.4183 0.632142 2.33335 14.2877 31.082 61.9633
20-8-rnd-8 6.60236 1.34972 17.9773 8.91994 34.0314 0.759095 1.61766 6.54318 10.0252 26.89724
