algo allgather allreduce comm comp d gram mm nnls reducescatter total_time
20-16-nat-2-16 1.69537 0.0246458 4.20098 28.8382 33.6863 0.122952 8.74123 19.9741 2.48096 33.03918
20-16-rnd-2-16 1.76633 0.0248381 4.27924 28.9773 33.8412 0.103864 8.72165 20.1518 2.48806 33.25654
20-32-nat-2-16 1.72633 0.0247319 4.19888 35.465 40.2782 0.112998 16.2142 19.1378 2.44783 39.66388
20-32-rnd-2-16 1.73113 0.0246317 4.22522 35.1082 39.997 0.122065 16.2347 18.7514 2.46945 39.33342
20-4-nat-2-16 1.73588 0.0246319 4.26424 24.8422 29.6805 0.113817 2.67794 22.0505 2.50373 29.10644
20-4-rnd-2-16 1.702 0.00473959 4.19679 24.8254 29.5369 0.113087 2.64629 22.0661 2.49005 29.02219
20-64-nat-2-16 1.69643 0.0514838 4.19147 47.4615 52.2363 0.123148 29.7047 17.6336 2.44356 51.65297
20-64-rnd-2-16 1.64957 0.0645079 4.15433 47.5695 52.4049 0.121679 29.5545 17.8934 2.44025 51.72383
20-8-nat-2-16 1.73138 0.00477026 4.20218 26.0499 30.7035 0.104077 4.71345 21.2324 2.46602 30.25208
20-8-rnd-2-16 1.69089 0.00480177 4.17842 25.9393 30.6339 0.104545 4.73638 21.0984 2.48273 30.11772
