algo allgather allreduce comm comp d gram mm nnls reducescatter total_time
20-16-cp1d-2-16 1.37077 1.15321 3.8247 8.37281 17.9009 0.690389 0.781435 6.90098 1.30071 12.19751
20-16-cp1d-2-48 2.38914 1.55168 6.4964 17.6156 29.6309 0.651279 1.08388 15.8804 2.55558 24.112
20-16-cp1d-2-8 0.937468 1.2179 3.1134 8.39548 17.6526 0.79718 0.773045 6.82525 0.958032 11.50888
20-16-cp2d-2-16 1.34743 1.24805 3.93812 8.19051 18.3229 0.694565 0.742546 6.7534 1.34264 12.12863
20-16-cp2d-2-48 2.77289 1.48763 7.12135 17.625 30.3783 0.654104 1.23846 15.7325 2.86083 24.74635
20-16-cp2d-2-8 1.02891 1.26127 3.36458 8.10212 17.8195 0.71767 0.707996 6.67645 1.0744 11.4667
20-16-cr-2-16 1.15742 1.33819 3.74625 8.31448 18.29 0.714114 0.791826 6.80854 1.25064 12.06073
20-16-cr-2-48 3.04042 1.49032 6.94333 17.8652 29.8773 0.744414 1.35503 15.7658 2.41259 24.80853
20-16-cr-2-8 0.95722 1.22089 3.21941 8.20095 17.618 0.647886 0.698159 6.85491 1.04131 11.42036
20-16-cu-2-16 1.24109 1.24765 3.67981 8.53972 18.4687 0.782903 0.78 6.97682 1.19107 12.21953
20-16-cu-2-48 3.06316 1.57759 7.0058 17.9558 30.2575 0.686759 1.46316 15.8059 2.36505 24.9616
20-16-cu-2-8 0.926064 1.28878 3.21955 8.18923 17.9144 0.694488 0.785642 6.7091 1.00471 11.40878
20-32-cp1d-2-16 1.9025 1.32459 5.00191 8.59039 19.542 0.767423 0.989074 6.83389 1.77482 13.5923
20-32-cp1d-2-48 5.16959 1.52251 13.0185 19.7964 37.5849 0.695272 3.25586 15.8453 6.32643 32.8149
20-32-cp1d-2-8 1.07055 1.36524 3.73183 8.27915 18.4418 0.734046 0.839328 6.70578 1.29605 12.01098
20-32-cp2d-2-16 1.46576 1.0942 3.97255 8.40532 17.7192 0.629438 0.8637 6.91218 1.41259 12.37787
20-32-cp2d-2-48 3.14472 1.29422 11.2728 18.2215 34.652 0.601727 1.82779 15.7919 6.83384 29.4943
20-32-cp2d-2-8 0.995184 1.32481 3.29542 8.32033 18.1116 0.611821 0.755506 6.95301 0.97543 11.61575
20-32-cr-2-16 1.72809 1.34753 4.64657 8.62959 19.5102 0.721065 0.953934 6.95459 1.57095 13.27616
20-32-cr-2-48 4.31313 1.64407 11.8197 18.978 36.2023 0.718881 2.51361 15.7455 5.86245 30.7977
20-32-cr-2-8 1.07022 1.19287 3.28367 8.33059 17.8595 0.764335 0.839126 6.72713 1.02058 11.61426
20-32-cu-2-16 1.88141 1.33248 4.78645 8.78604 19.9642 0.759036 0.976691 7.05031 1.57257 13.57249
20-32-cu-2-48 4.56807 1.40958 11.6784 19.1587 35.7316 0.649456 2.53732 15.9719 5.70079 30.8371
20-32-cu-2-8 1.01928 1.11915 3.17544 8.53244 17.5687 0.784646 0.791012 6.95678 1.03702 11.70788
20-4-cp1d-2-16 1.11882 1.28221 3.50913 8.86066 18.5518 0.705568 0.672451 7.48264 1.1081 12.36979
20-4-cp1d-2-48 2.63685 1.1741 5.40993 20.1785 30.3741 0.673547 0.818158 18.6868 1.59898 25.58843
20-4-cp1d-2-8 1.13368 1.33007 3.5011 9.39892 19.7508 0.757979 0.610078 8.03086 1.03735 12.90002
20-4-cp2d-2-16 0.925278 1.21018 3.03791 8.2597 17.4204 0.690903 0.625009 6.94379 0.902458 11.29761
20-4-cp2d-2-48 2.47346 1.29899 5.09941 19.7519 30.3914 0.702011 0.739317 18.3106 1.32696 24.85131
20-4-cp2d-2-8 0.954492 1.2524 3.20626 8.22471 17.6131 0.713123 0.620331 6.89125 0.999364 11.43097
20-4-cr-2-16 0.932162 1.182 3.15179 8.45649 17.5287 0.691465 0.677921 7.0871 1.03763 11.60828
20-4-cr-2-48 1.82837 1.36233 4.50869 17.1409 27.0762 0.667755 0.726656 15.7465 1.31799 21.64959
20-4-cr-2-8 0.992083 1.43258 3.46206 8.60402 18.1942 0.720607 0.663804 7.21961 1.0374 12.06608
20-4-cu-2-16 1.04371 1.182 3.24266 8.51959 17.8984 0.768768 0.701139 7.04968 1.01696 11.76225
20-4-cu-2-48 1.80867 1.51283 4.89073 17.3149 27.7043 0.732875 0.793323 15.7887 1.56923 22.20563
20-4-cu-2-8 0.921583 1.27512 3.27892 8.0822 17.6718 0.746469 0.593671 6.74206 1.08222 11.36112
20-64-cp1d-2-16 1.94272 1.40912 5.42876 8.47619 20.2543 0.699356 1.19371 6.58313 2.07692 13.90495
20-64-cp1d-2-48 5.82306 1.6468 16.1606 19.4009 41.0877 0.69543 4.12583 14.5797 8.69076 35.5615
20-64-cp1d-2-8 1.39131 1.3571 4.11892 9.49287 20.0228 0.797626 0.972373 7.72287 1.37051 13.61179
20-64-cp2d-2-16 2.27106 1.49188 5.87442 8.78066 20.9782 0.735839 1.36035 6.68447 2.11148 14.65508
20-64-cp2d-2-48 8.12064 1.61802 19.0754 21.4252 45.4063 0.656868 6.09147 14.6768 9.33675 40.5006
20-64-cp2d-2-8 1.47323 1.30633 4.21475 8.09023 18.6291 0.683808 0.917038 6.48938 1.43519 12.30498
20-64-cr-2-16 2.19157 1.38606 5.52926 8.48127 20.3868 0.769038 1.22037 6.49186 1.95163 14.01053
20-64-cr-2-48 5.89758 1.63235 18.1121 19.7676 43.1041 0.737583 4.33393 14.696 10.5822 37.8797
20-64-cr-2-8 1.05604 1.24083 3.52429 7.95089 17.6195 0.687537 0.925006 6.33835 1.22742 11.47518
20-64-cu-2-16 2.19182 1.52067 5.92089 8.7124 21.0537 0.813407 1.27591 6.62308 2.2084 14.63329
20-64-cu-2-48 7.1532 1.4581 19.3598 20.4303 44.9672 0.768588 4.88184 14.7798 10.7485 39.7901
20-64-cu-2-8 1.10061 1.32739 3.56806 8.22734 18.804 0.777612 0.98013 6.4696 1.14007 11.7954
20-8-cp1d-2-16 0.958695 1.24331 3.29884 8.25411 17.539 0.692383 0.670335 6.8914 1.09683 11.55295
20-8-cp1d-2-48 2.36781 1.31205 5.64195 17.2979 28.1435 0.714003 0.859747 15.7241 1.96209 22.93985
20-8-cp1d-2-8 1.00034 1.36858 3.36728 8.28689 18.58 0.781275 0.708629 6.79698 0.998365 11.65417
20-8-cp2d-2-16 1.02975 1.24945 3.25966 8.43248 18.1569 0.664898 0.72207 7.04551 0.98047 11.69214
20-8-cp2d-2-48 2.07902 1.3987 5.29261 17.0994 27.8102 0.681988 0.824329 15.593 1.81489 22.39201
20-8-cp2d-2-8 0.955637 1.24041 3.10369 8.13428 17.513 0.706077 0.65971 6.7685 0.907642 11.23797
20-8-cr-2-16 0.996861 1.2249 3.2228 8.23586 17.2552 0.584922 0.684733 6.96621 1.00103 11.45866
20-8-cr-2-48 2.12194 1.35508 5.24973 17.2798 27.6449 0.711179 0.865045 15.7035 1.77271 22.52953
20-8-cr-2-8 0.974582 1.23674 3.17912 8.10554 17.8735 0.664246 0.676952 6.76434 0.967797 11.28466
20-8-cu-2-16 1.09634 1.21543 3.42286 8.1991 17.764 0.746966 0.661057 6.79107 1.11108 11.62196
20-8-cu-2-48 2.46878 1.50779 5.97122 17.3976 28.9419 0.736884 0.920672 15.7401 1.99465 23.36882
20-8-cu-2-8 1.00725 1.32686 3.37058 8.27986 18.2216 0.718065 0.736613 6.82518 1.03647 11.65044
