#algo represents nodefactor-edgefactor-partitionscheme-bpp-lowrannk
algo allgather allreduce comm comp d gram mm nnls reducescatter total_time
20-16-cp1d-2-16 0.748836 0.0247453 2.69453 27.2518 30.2528 0.102548 7.3519 19.7973 1.92095 29.94633
20-16-cp1d-2-48 1.91032 0.0588459 4.49056 81.5945 86.9437 0.523577 22.7033 58.3677 2.5216 86.08506
20-16-cp1d-2-8 0.428111 0.0240797 2.23204 17.8501 20.3319 0.0536253 4.61287 13.1836 1.77985 20.08214
20-16-cp2d-2-16 0.606969 0.00469216 2.57667 27.3524 30.1894 0.0922993 7.17729 20.0828 1.965 29.92907
20-16-cp2d-2-48 1.71132 0.0187837 3.97666 79.53 84.3695 0.51074 22.5631 56.4562 2.24655 83.50666
20-16-cp2d-2-8 0.355526 0.00457578 2.13035 18.2681 20.5748 0.0449484 4.58661 13.6365 1.77025 20.39845
20-16-cr-2-16 0.664125 0.0450406 2.7372 27.3521 30.5079 0.107821 7.52241 19.7219 2.02804 30.0893
20-16-cr-2-48 1.89788 0.0184921 4.26673 79.3835 84.5054 0.491565 23.0012 55.8908 2.35036 83.65023
20-16-cr-2-8 0.379727 0.0101282 2.25773 18.0739 20.5762 0.0534669 4.67986 13.3406 1.86787 20.33163
20-16-cu-2-16 0.771275 0.00482792 2.53775 26.6221 29.4628 0.0903105 7.55767 18.9741 1.76164 29.15985
20-16-cu-2-48 2.26086 0.0384045 4.80238 80.8154 86.5512 0.509499 23.0784 57.2275 2.50312 85.61778
20-16-cu-2-8 0.460917 0.00405604 1.58577 18.1055 19.9507 0.0451359 4.8002 13.2601 1.1208 19.69127
20-16-fp-2-16 1.47709 0.025085 4.73003 29.1283 34.3924 0.109252 8.41641 20.6047 3.22785 33.85833
20-16-fp-2-48 2.9122 0.0600779 7.90838 83.0165 91.9067 0.515292 24.0135 58.4857 4.9361 90.92488
20-16-fp-2-8 0.866224 0.0443663 4.67167 19.9942 25.0716 0.0841234 4.87137 15.0387 3.76108 24.66587
20-16-fr-2-16 3.00524 0.0248927 8.44897 29.3615 38.1793 0.0989207 8.18676 21.0758 5.41883 37.81047
20-16-fr-2-48 9.05088 0.068719 20.9027 85.2981 107.08 0.501953 24.6935 60.1026 11.7831 106.2008
20-16-fr-2-8 2.06459 0.0531707 7.84892 21.2479 29.5719 0.080646 5.31628 15.853 5.73117 29.09682
20-32-cp1d-2-16 0.977442 0.0445476 2.89337 32.187 35.4645 0.111211 16.1024 17.9734 1.87138 35.08037
20-32-cp1d-2-48 2.64626 0.019942 5.30066 97.1295 103.269 0.509594 43.9692 52.6507 2.63446 102.43016
20-32-cp1d-2-8 0.481383 0.0238683 1.16075 20.8623 22.274 0.0708475 8.85325 11.9382 0.655499 22.02305
20-32-cp2d-2-16 0.780991 0.0245893 2.66849 32.6402 35.6721 0.104609 13.7111 18.8245 1.86291 35.30869
20-32-cp2d-2-48 2.38163 0.0193788 5.24608 96.8157 102.935 0.536618 42.9935 53.2856 2.84506 102.06178
20-32-cp2d-2-8 0.541269 0.0241879 1.34644 20.9662 22.616 0.0556002 8.87967 12.0309 0.780985 22.31264
20-32-cr-2-16 0.809553 0.0326185 2.41674 31.7235 34.573 0.0879176 13.8808 17.7548 1.57457 34.14024
20-32-cr-2-48 2.62821 0.116462 5.52073 95.5186 102.018 0.5138 43.6236 51.3811 2.77805 101.03933
20-32-cr-2-8 0.510982 0.0239627 1.2532 20.7793 22.2487 0.0529743 8.84123 11.8851 0.718258 22.0325
20-32-cu-2-16 1.00243 0.0243969 2.54544 31.9954 34.8492 0.108903 13.958 17.9285 1.51861 34.54084
20-32-cu-2-48 3.06244 0.0186261 6.03032 96.6989 103.568 0.497993 43.4869 52.716 2.94925 102.72922
20-32-cu-2-8 0.561617 0.0439843 1.17319 20.8621 22.3229 0.0834402 8.65455 12.1241 0.567584 22.03529
