algo            comm     comp        allgather allreduce    d gram mm nnls reducescatter total_time
                                                         
20-4-nat-48     43.705   16.6716     11.6408   1.13437      65.8247 0.768337 1.67063 14.2326 30.9298 60.3766
20-8-nat-48     44.0518  17.0188     12.0433   1.07302      66.4459 0.664764 2.22713 14.1269 30.9355 61.0706
20-16-nat-48    45.5795  18.1027     13.1655   1.26623      69.0891 0.703692 3.24543 14.1536 31.1477 63.6822
20-32-nat-48    44.4275  19.9112     12.5089   1.16931      70.0272 0.677851 5.1658 14.0676 30.7493 64.3387
20-64-nat-48    45.1372  22.1654     12.7806   1.36281      72.7215 0.70125 7.10458 14.3596 30.9938 67.3026
                                                         
20-4-cu-2-48    4.89073  17.3149     1.80867   1.51283      27.7043 0.732875 0.793323 15.7887 1.56923 22.20563
20-8-cu-2-48    5.97122  17.3976     2.46878   1.50779      28.9419 0.736884 0.920672 15.7401 1.99465 23.36882
20-16-cu-2-48   7.0058   17.9558     3.06316   1.57759      30.2575 0.686759 1.46316 15.8059 2.36505 24.9616
20-32-cu-2-48   11.6784  19.1587     4.56807   1.40958      35.7316 0.649456 2.53732 15.9719 5.70079 30.8371
20-64-cu-2-48   19.3598  20.4303     7.1532    1.4581       44.9672 0.768588 4.88184 14.7798 10.7485 39.7901
                                                         
20-4-cr-2-48    4.50869  17.1409     1.82837   1.36233      27.0762 0.667755 0.726656 15.7465 1.31799 21.64959
20-8-cr-2-48    5.24973  17.2798     2.12194   1.35508      27.6449 0.711179 0.865045 15.7035 1.77271 22.52953
20-16-cr-2-48   6.94333  17.8652     3.04042   1.49032      29.8773 0.744414 1.35503 15.7658 2.41259 24.80853
20-32-cr-2-48   11.8197  18.978      4.31313   1.64407      36.2023 0.718881 2.51361 15.7455 5.86245 30.7977
20-64-cr-2-48   18.1121  19.7676     5.89758   1.63235      43.1041 0.737583 4.33393 14.696 10.5822 37.8797
                                                         
20-4-cp1d-2-48  5.40993  20.1785     2.63685   1.1741       30.3741 0.673547 0.818158 18.6868 1.59898 25.58843
20-8-cp1d-2-48  5.64195  17.2979     2.36781   1.31205      28.1435 0.714003 0.859747 15.7241 1.96209 22.93985
20-16-cp1d-2-48 6.4964   17.6156     2.38914   1.55168      29.6309 0.651279 1.08388 15.8804 2.55558 24.112
20-32-cp1d-2-48 13.0185  19.7964     5.16959   1.52251      37.5849 0.695272 3.25586 15.8453 6.32643 32.8149
20-64-cp1d-2-48 16.1606  19.4009     5.82306   1.6468       41.0877 0.69543 4.12583 14.5797 8.69076 35.5615
                                                         
20-4-cp2d-2-48  5.09941  19.7519     2.47346   1.29899      30.3914 0.702011 0.739317 18.3106 1.32696 24.85131
20-8-cp2d-2-48  5.29261  17.0994     2.07902   1.3987       27.8102 0.681988 0.824329 15.593 1.81489 22.39201
20-16-cp2d-2-48 7.12135  17.625      2.77289   1.48763      30.3783 0.654104 1.23846 15.7325 2.86083 24.74635
20-32-cp2d-2-48 11.2728  18.2215     3.14472   1.29422      34.652 0.601727 1.82779 15.7919 6.83384 29.4943
20-64-cp2d-2-48 19.0754  21.4252     8.12064   1.61802      45.4063 0.656868 6.09147 14.6768 9.33675 40.5006
