alg p total_d total_comm total_comp allgather allreduce reducescatter gram krp mttkrp nnls err_compute err_communication
D 1 26.142527724 0.000627724 26.1419 0.000123885 0.000116255 0.000378177 0.00153115 0.000 26.0799 0.0582224 0.00168064 0.00168064 
D 2 11.52263607 0.00643607 11.5162 0.00289744 0.000632318 0.00278887 0.00166622 0.000 11.4728 0.0391901 0.00189273 0.00189273 
D 4 5.89382547 0.00908547 5.88474 0.00376854 0.00210826 0.00311544 0.00229561 0 5.84659 0.0327845 0.00222013 0.00222013
D 8 3.07403732 0.00879732 3.06524 0.00389019 0.00221754 0.00237859 0.00237616 0 3.02351 0.0362258 0.00235145 0.00235145 
D 16 1.57308223 0.00991223 1.56317 0.00418362 0.00292112 0.0025121 0.00250771 0 1.52241 0.0346043 0.00272784 0.00272784
D 32 0.8659485 0.0106725 0.855276 0.00271221 0.00494895 0.0026745 0.00370335 0 0.814195 0.0330025 0.00324411 0.00324411 
N 1 345.175859084 0.000859084 345.175 0.000147041 0.000122769 0.000566214 0.00165825 162.895 182.211 0.0654016 0.0016078 0.0016078 
N 2 264.28723452 0.00623452 264.281 0.00298405 0.000870971 0.00226432 0.00189617 75.7066 188.524 0.0459974 0.00194639 0.00194639 
N 4 102.26180035 0.00880035 102.253 0.00359529 0.00200619 0.00280347 0.00252233 44.6245 57.5834 0.0401037 0.00181459 0.00181459 
N 8 52.6767044 0.0103044 52.6664 0.00403141 0.00260215 0.00311863 0.00263312 23.9099 28.7149 0.0360894 0.00211462 0.00211462 
N 16 25.5987749 0.0102749 25.5885 0.00398399 0.00298048 0.00274968 0.0029253 11.1107 14.437 0.0346948 0.00256578 0.00256578 
N 32 13.6693909 0.0132909 13.6561 0.00296635 0.00521222 0.00408106 0.00398686 6.26481 7.34902 0.0339718 0.00309581 0.00309581 
