iter	k	algo	totaltime	relerr	gpu
0	16	0	0.111019	0.926579	1
1	16	0	0.23895	0.925903	1
2	16	0	0.401698	0.925427	1
3	16	0	0.505162	0.925069	1
4	16	0	0.609343	0.924788	1
5	16	0	0.708145	0.924561	1
6	16	0	0.807137	0.924371	1
7	16	0	0.905811	0.924209	1
8	16	0	1.0044	0.924068	1
9	16	0	1.10311	0.923942	1
10	16	0	1.20172	0.923829	1
11	16	0	1.30128	0.923726	1
12	16	0	1.40006	0.92363	1
13	16	0	1.50106	0.92354	1
14	16	0	1.5996	0.923455	1
15	16	0	1.69929	0.923374	1
16	16	0	1.79846	0.923296	1
17	16	0	1.8996	0.923221	1
18	16	0	1.99879	0.923148	1
19	16	0	2.09852	0.923076	1
20	16	0	2.19875	0.923007	1
21	16	0	2.29834	0.922939	1
22	16	0	2.4	0.922872	1
23	16	0	2.49906	0.922807	1
24	16	0	2.59818	0.922744	1
25	16	0	2.69836	0.922682	1
26	16	0	2.79723	0.922621	1
27	16	0	2.89699	0.922561	1
28	16	0	2.99603	0.922503	1
29	16	0	3.0965	0.922447	1
0	16	0	0.0369107	0.926579	0
1	16	0	0.0731794	0.925903	0
2	16	0	0.1059	0.925427	0
3	16	0	0.13653	0.925069	0
4	16	0	0.167318	0.924788	0
5	16	0	0.197821	0.924561	0
6	16	0	0.228335	0.924371	0
7	16	0	0.258965	0.924209	0
8	16	0	0.29216	0.924068	0
9	16	0	0.322559	0.923942	0
10	16	0	0.352959	0.923829	0
11	16	0	0.383421	0.923726	0
12	16	0	0.413898	0.92363	0
13	16	0	0.444606	0.92354	0
14	16	0	0.476032	0.923455	0
15	16	0	0.507042	0.923374	0
16	16	0	0.537981	0.923296	0
17	16	0	0.568542	0.923221	0
18	16	0	0.598903	0.923148	0
19	16	0	0.630041	0.923076	0
20	16	0	0.661494	0.923007	0
21	16	0	0.694857	0.922939	0
22	16	0	0.725603	0.922872	0
23	16	0	0.756034	0.922807	0
24	16	0	0.787041	0.922744	0
25	16	0	0.817539	0.922682	0
26	16	0	0.848218	0.922621	0
27	16	0	0.878678	0.922561	0
28	16	0	0.909117	0.922503	0
29	16	0	0.939542	0.922447	0
0	16	1	0.107043	0.930107	1
1	16	1	0.211183	0.924473	1
2	16	1	0.312699	0.923423	1
3	16	1	0.419079	0.922912	1
4	16	1	0.520617	0.922619	1
5	16	1	0.632389	0.922427	1
6	16	1	0.734007	0.92228	1
7	16	1	0.83501	0.922176	1
8	16	1	0.936196	0.922098	1
9	16	1	1.03713	0.922041	1
10	16	1	1.13863	0.921991	1
11	16	1	1.24054	0.921944	1
12	16	1	1.34427	0.921901	1
13	16	1	1.44526	0.921856	1
14	16	1	1.54715	0.921814	1
15	16	1	1.648	0.921783	1
16	16	1	1.75713	0.921765	1
17	16	1	1.86146	0.921754	1
18	16	1	1.96518	0.921746	1
19	16	1	2.08158	0.921738	1
20	16	1	2.20814	0.92173	1
21	16	1	2.325	0.921725	1
22	16	1	2.44124	0.921718	1
23	16	1	2.56294	0.921711	1
24	16	1	2.67725	0.921704	1
25	16	1	2.77841	0.921701	1
26	16	1	2.87967	0.921698	1
27	16	1	2.98091	0.921692	1
28	16	1	3.08388	0.921686	1
29	16	1	3.18524	0.921683	1
0	16	1	0.0372705	0.930107	0
1	16	1	0.0733886	0.924473	0
2	16	1	0.106313	0.923423	0
3	16	1	0.138938	0.922912	0
4	16	1	0.171524	0.922619	0
5	16	1	0.205236	0.922427	0
6	16	1	0.237873	0.92228	0
7	16	1	0.27192	0.922176	0
8	16	1	0.304886	0.922098	0
9	16	1	0.337265	0.922041	0
10	16	1	0.371611	0.921991	0
11	16	1	0.407928	0.921944	0
12	16	1	0.443462	0.921901	0
13	16	1	0.476197	0.921856	0
14	16	1	0.510212	0.921814	0
15	16	1	0.546227	0.921783	0
16	16	1	0.60206	0.921765	0
17	16	1	0.660604	0.921754	0
18	16	1	0.716826	0.921746	0
19	16	1	0.788646	0.921738	0
20	16	1	0.841179	0.92173	0
21	16	1	0.885581	0.921725	0
22	16	1	0.919267	0.921718	0
23	16	1	0.954718	0.921711	0
24	16	1	0.992441	0.921704	0
25	16	1	1.02738	0.921701	0
26	16	1	1.06029	0.921698	0
27	16	1	1.09381	0.921692	0
28	16	1	1.12873	0.921686	0
29	16	1	1.16362	0.921683	0
0	16	2	0.104092	0.925319	1
1	16	2	0.204502	0.921294	1
2	16	2	0.3048	0.920714	1
3	16	2	0.406779	0.920508	1
4	16	2	0.506272	0.920372	1
5	16	2	0.605496	0.920261	1
6	16	2	0.704569	0.920154	1
7	16	2	0.80357	0.920055	1
8	16	2	0.902529	0.919978	1
9	16	2	1.00347	0.919922	1
10	16	2	1.10326	0.919874	1
11	16	2	1.20284	0.919823	1
12	16	2	1.30303	0.919775	1
13	16	2	1.40346	0.919739	1
14	16	2	1.50271	0.919717	1
15	16	2	1.60243	0.919707	1
16	16	2	1.70178	0.919703	1
17	16	2	1.80154	0.919701	1
18	16	2	1.90153	0.9197	1
19	16	2	2.0015	0.9197	1
20	16	2	2.10088	0.9197	1
21	16	2	2.20067	0.919699	1
22	16	2	2.30518	0.919699	1
23	16	2	2.40426	0.919699	1
24	16	2	2.50311	0.919699	1
25	16	2	2.60225	0.919699	1
26	16	2	2.70135	0.919699	1
27	16	2	2.80124	0.919699	1
28	16	2	2.90058	0.919699	1
29	16	2	3.00284	0.919699	1
0	16	2	0.0346985	0.925319	0
1	16	2	0.0662518	0.921294	0
2	16	2	0.09853	0.920714	0
3	16	2	0.129348	0.920508	0
4	16	2	0.160646	0.920372	0
5	16	2	0.192535	0.920261	0
6	16	2	0.224559	0.920154	0
7	16	2	0.255531	0.920055	0
8	16	2	0.287849	0.919978	0
9	16	2	0.319351	0.919922	0
10	16	2	0.350739	0.919874	0
11	16	2	0.382816	0.919823	0
12	16	2	0.439644	0.919775	0
13	16	2	0.470858	0.919739	0
14	16	2	0.502281	0.919717	0
15	16	2	0.533266	0.919707	0
16	16	2	0.566052	0.919703	0
17	16	2	0.597194	0.919701	0
18	16	2	0.639625	0.9197	0
19	16	2	0.67039	0.9197	0
20	16	2	0.701304	0.9197	0
21	16	2	0.733387	0.919699	0
22	16	2	0.764926	0.919699	0
23	16	2	0.797484	0.919699	0
24	16	2	0.830281	0.919699	0
25	16	2	0.863281	0.919699	0
26	16	2	0.896064	0.919699	0
27	16	2	0.928642	0.919699	0
28	16	2	0.961007	0.919699	0
29	16	2	0.992432	0.919699	0
0	16	4	0.109055	0.923004	1
1	16	4	0.216065	0.921882	1
2	16	4	0.321035	0.921575	1
3	16	4	0.425032	0.921498	1
4	16	4	0.528836	0.92164	1
5	16	4	0.633265	0.921941	1
6	16	4	0.73916	0.92242	1
7	16	4	0.847937	0.922244	1
8	16	4	0.954127	0.922201	1
9	16	4	1.06807	0.922153	1
10	16	4	1.17769	0.92213	1
11	16	4	1.2916	0.922169	1
12	16	4	1.40194	0.922181	1
13	16	4	1.50697	0.922013	1
14	16	4	1.61653	0.922007	1
15	16	4	1.72416	0.922681	1
16	16	4	1.83015	0.922036	1
17	16	4	1.93415	0.922337	1
18	16	4	2.03892	0.921897	1
19	16	4	2.14582	0.921834	1
20	16	4	2.25146	0.921898	1
21	16	4	2.3618	0.922589	1
22	16	4	2.51598	0.922618	1
23	16	4	2.64695	0.922654	1
24	16	4	2.76465	0.922681	1
25	16	4	2.87011	0.922693	1
26	16	4	2.97574	0.922704	1
27	16	4	3.07999	0.922718	1
28	16	4	3.18414	0.922729	1
29	16	4	3.29621	0.922734	1
0	16	4	0.0389913	0.923004	0
1	16	4	0.0750751	0.921882	0
2	16	4	0.110043	0.921575	0
3	16	4	0.147968	0.921498	0
4	16	4	0.185154	0.921637	0
5	16	4	0.22342	0.921943	0
6	16	4	0.266557	0.922422	0
7	16	4	0.305074	0.922244	0
8	16	4	0.341092	0.922199	0
9	16	4	0.376555	0.922153	0
10	16	4	0.412426	0.922133	0
11	16	4	0.447611	0.92215	0
12	16	4	0.483035	0.922094	0
13	16	4	0.51847	0.922014	0
14	16	4	0.553492	0.922038	0
15	16	4	0.58946	0.922133	0
16	16	4	0.627876	0.921943	0
17	16	4	0.668891	0.921907	0
18	16	4	0.706935	0.921887	0
19	16	4	0.744508	0.921834	0
20	16	4	0.782071	0.921809	0
21	16	4	0.818936	0.921811	0
22	16	4	0.855032	0.921787	0
23	16	4	0.890487	0.921874	0
24	16	4	0.926485	0.922319	0
25	16	4	0.986801	0.921773	0
26	16	4	1.02248	0.921861	0
27	16	4	1.05795	0.922151	0
28	16	4	1.09645	0.922182	0
