iter k algo time relerr
0 16 0 2.98438 0.290319
1 16 0 5.9658 0.27734
2 16 0 8.94847 0.267608
3 16 0 11.9282 0.26004
4 16 0 14.9099 0.25399
5 16 0 17.8901 0.249043
6 16 0 20.8696 0.244924
7 16 0 23.8486 0.241437
8 16 0 26.8273 0.238445
9 16 0 29.8073 0.235845
10 16 0 32.7868 0.23356
11 16 0 35.7664 0.23153
12 16 0 38.7472 0.229708
13 16 0 41.7283 0.228058
14 16 0 44.7079 0.226549
15 16 0 47.6889 0.225157
16 16 0 50.6673 0.223861
17 16 0 53.6474 0.222645
18 16 0 56.6265 0.221492
19 16 0 59.6083 0.220392
20 16 0 62.5895 0.219333
21 16 0 65.5743 0.218304
22 16 0 68.5532 0.217299
23 16 0 71.5314 0.216308
24 16 0 74.5168 0.215325
25 16 0 77.4965 0.214344
26 16 0 80.4748 0.213359
27 16 0 83.4547 0.212365
28 16 0 86.4329 0.211358
29 16 0 89.4131 0.210333
0 16 1 2.98972 0.309685
1 16 1 5.98957 0.2435
2 16 1 8.97496 0.21775
3 16 1 11.966 0.193549
4 16 1 14.9504 0.174124
5 16 1 17.9352 0.160906
6 16 1 20.9206 0.150749
7 16 1 23.9044 0.142359
8 16 1 26.8878 0.135734
9 16 1 29.8738 0.129986
10 16 1 32.8622 0.124912
11 16 1 35.8504 0.120507
12 16 1 38.8344 0.11682
13 16 1 41.8198 0.113683
14 16 1 44.8053 0.110909
15 16 1 47.791 0.108364
16 16 1 50.7762 0.105965
17 16 1 53.7606 0.103636
18 16 1 56.7528 0.101296
19 16 1 59.7415 0.0988492
20 16 1 62.7261 0.0962224
21 16 1 65.7125 0.0934432
22 16 1 68.6962 0.0906577
23 16 1 71.6805 0.0879909
24 16 1 74.6639 0.085457
25 16 1 77.6484 0.0829915
26 16 1 80.6327 0.0805442
27 16 1 83.6174 0.0780928
28 16 1 86.607 0.0756361
29 16 1 89.5913 0.0731971
0 16 2 2.98518 0.968455
1 16 2 5.96719 0.17559
2 16 2 8.95014 0.119292
3 16 2 11.9319 0.103544
4 16 2 14.9165 0.0945857
5 16 2 17.9013 0.0860632
6 16 2 20.8832 0.0779703
7 16 2 23.8654 0.0712356
8 16 2 26.8489 0.0657624
9 16 2 29.8292 0.0608097
10 16 2 32.8114 0.055429
11 16 2 35.8129 0.0491324
12 16 2 38.7974 0.042177
13 16 2 41.7823 0.0345624
14 16 2 44.7659 0.0259571
15 16 2 47.7469 0.0175905
16 16 2 50.7287 0.0113867
17 16 2 53.7128 0.00765445
18 16 2 56.6941 0.00562297
19 16 2 59.6743 0.00452877
20 16 2 62.6549 0.00388473
21 16 2 65.6355 0.00344499
22 16 2 68.6149 0.0031029
23 16 2 71.5959 0.0028155
24 16 2 74.5779 0.00256416
25 16 2 77.559 0.00234003
26 16 2 80.5412 0.00213816
27 16 2 83.5219 0.00195541
28 16 2 86.5029 0.00178958
29 16 2 89.4831 0.00163896
0 16 4 2.99263 0.205975
1 16 4 5.98412 0.150561
2 16 4 8.97358 0.1187
3 16 4 11.9651 0.10378
4 16 4 14.9637 0.095618
5 16 4 17.9544 0.0877234
6 16 4 20.9453 0.0786264
7 16 4 23.9344 0.0693429
8 16 4 26.9272 0.0614923
9 16 4 29.9164 0.0558093
10 16 4 32.9121 0.0519147
11 16 4 35.9023 0.0489913
12 16 4 38.8923 0.0463697
13 16 4 41.8817 0.0437504
14 16 4 44.8724 0.041156
15 16 4 47.8622 0.0385985
16 16 4 50.8518 0.0357527
17 16 4 53.8409 0.0320758
18 16 4 56.8594 0.027287
19 16 4 59.853 0.0219581
20 16 4 62.8422 0.0172548
21 16 4 65.8346 0.0139248
22 16 4 68.8258 0.0119444
23 16 4 71.8143 0.0109002
24 16 4 74.8078 0.0103902
25 16 4 77.7997 0.0101499
26 16 4 80.789 0.0100382
27 16 4 83.7775 0.00998551
28 16 4 86.7658 0.00995882
29 16 4 89.7545 0.00994151
0 16 5 2.99147 0.211213
1 16 5 5.97949 0.211187
2 16 5 8.96338 0.211136
3 16 5 11.9497 0.210963
4 16 5 14.9355 0.210383
5 16 5 17.9216 0.208519
6 16 5 20.9108 0.183508
7 16 5 25.384 0.136696
8 16 5 29.8539 0.204665
9 16 5 34.3233 0.190982
10 16 5 37.3108 0.162647
11 16 5 41.7848 0.162647
12 16 5 46.2568 0.162647
13 16 5 50.7264 0.162647
14 16 5 55.1983 0.162647
15 16 5 59.6693 0.162647
16 16 5 64.1417 0.162647
17 16 5 68.6155 0.162647
18 16 5 73.0906 0.162647
19 16 5 77.5618 0.162647
20 16 5 82.0579 0.162647
21 16 5 86.5384 0.162647
22 16 5 91.0078 0.162647
23 16 5 95.4798 0.162647
24 16 5 99.9687 0.162647
25 16 5 104.437 0.162647
26 16 5 108.905 0.162647
27 16 5 113.375 0.162647
28 16 5 117.844 0.162647
29 16 5 122.319 0.162647
0 16 6 2.98484 0.202425
1 16 6 5.96491 0.186829
2 16 6 8.94647 0.176021
3 16 6 11.9286 0.165938
4 16 6 14.9086 0.157058
5 16 6 17.8903 0.149847
6 16 6 20.8725 0.144162
7 16 6 23.8535 0.141156
8 16 6 26.8389 0.140121
9 16 6 29.8208 0.139616
10 16 6 32.8008 0.139191
11 16 6 35.782 0.138516
12 16 6 38.7613 0.137758
13 16 6 41.7414 0.137733
14 16 6 44.7232 0.137553
15 16 6 47.7057 0.137089
16 16 6 50.6852 0.137022
17 16 6 53.6657 0.137762
18 16 6 56.6447 0.136359
19 16 6 59.6257 0.132805
20 16 6 62.607 0.13179
21 16 6 65.5862 0.131551
22 16 6 68.5966 0.131522
23 16 6 71.5782 0.131519
24 16 6 74.5614 0.131519
25 16 6 77.5445 0.131519
26 16 6 80.5269 0.131519
27 16 6 83.5089 0.131519
28 16 6 86.4911 0.131519
29 16 6 89.4759 0.131519
0 32 0 4.44447 0.216314
1 32 0 8.88543 0.210488
2 32 0 13.3538 0.20557
3 32 0 17.7911 0.201358
4 32 0 22.2298 0.19771
5 32 0 26.6707 0.194517
6 32 0 31.1111 0.1917
7 32 0 35.5493 0.189194
8 32 0 39.9893 0.18695
9 32 0 44.427 0.184928
10 32 0 48.8855 0.183095
11 32 0 53.325 0.181425
12 32 0 57.7672 0.179897
13 32 0 62.2143 0.178491
14 32 0 66.6543 0.177193
15 32 0 71.0952 0.17599
16 32 0 75.5365 0.17487
17 32 0 79.9768 0.173824
18 32 0 84.4175 0.172844
19 32 0 88.8617 0.171922
20 32 0 93.302 0.171052
21 32 0 97.7401 0.170228
22 32 0 102.177 0.169447
23 32 0 106.617 0.168703
24 32 0 111.058 0.167992
25 32 0 115.494 0.167311
26 32 0 119.93 0.166658
27 32 0 124.368 0.166028
28 32 0 128.806 0.165421
29 32 0 133.245 0.164832
0 32 1 4.44667 0.246959
1 32 1 8.88727 0.195253
2 32 1 13.3253 0.16598
3 32 1 17.7658 0.147307
4 32 1 22.2157 0.134281
5 32 1 26.6575 0.126193
6 32 1 31.0981 0.120838
7 32 1 35.5435 0.116733
8 32 1 39.994 0.112889
9 32 1 44.4388 0.109074
10 32 1 48.8834 0.105853
11 32 1 53.3269 0.103344
12 32 1 57.7698 0.101314
13 32 1 62.235 0.0995352
14 32 1 66.6772 0.0979025
15 32 1 71.1213 0.0963832
16 32 1 75.5698 0.0949471
17 32 1 80.0141 0.0935661
18 32 1 84.4584 0.0922051
19 32 1 88.9027 0.0908354
20 32 1 93.348 0.0894461
21 32 1 97.7916 0.0880494
22 32 1 102.238 0.0866659
23 32 1 106.683 0.0853034
24 32 1 111.123 0.0839471
25 32 1 115.562 0.0825575
26 32 1 120.002 0.0811024
27 32 1 124.458 0.0795541
28 32 1 128.897 0.0779122
29 32 1 133.336 0.0762086
0 32 2 4.44671 0.449683
1 32 2 8.88997 0.118779
2 32 2 13.3287 0.0892543
3 32 2 17.7694 0.0825386
4 32 2 22.2114 0.0791278
5 32 2 26.6554 0.0755152
6 32 2 31.0961 0.0713404
7 32 2 35.5352 0.0665658
8 32 2 39.9777 0.0610889
9 32 2 44.4231 0.0550015
10 32 2 48.8654 0.048876
11 32 2 53.3062 0.0432025
12 32 2 57.7478 0.0377301
13 32 2 62.1867 0.0322455
14 32 2 66.6271 0.0274453
15 32 2 71.0674 0.0239936
16 32 2 75.506 0.0217727
17 32 2 79.9467 0.0203036
18 32 2 84.3867 0.0190488
19 32 2 88.8268 0.017459
20 32 2 93.2679 0.0150286
21 32 2 97.7094 0.0117
22 32 2 102.148 0.00827204
23 32 2 106.588 0.00563244
24 32 2 111.026 0.00398199
25 32 2 115.467 0.00306675
26 32 2 119.907 0.00257182
27 32 2 124.346 0.00228042
28 32 2 128.787 0.00208033
29 32 2 133.228 0.00192229
0 32 4 4.45883 0.147367
1 32 4 8.91951 0.106999
2 32 4 13.4023 0.0919512
3 32 4 17.8622 0.086543
4 32 4 22.3181 0.0836373
5 32 4 26.775 0.0809324
6 32 4 31.2293 0.0782216
7 32 4 35.6869 0.0753417
8 32 4 40.1408 0.071894
9 32 4 44.5966 0.0676573
10 32 4 49.0561 0.063286
11 32 4 53.5081 0.058947
12 32 4 57.9629 0.0543319
13 32 4 62.415 0.0494134
14 32 4 66.8673 0.0444134
15 32 4 71.3193 0.039532
16 32 4 75.7742 0.0348603
17 32 4 80.2277 0.03044
18 32 4 84.6838 0.0261359
19 32 4 89.1407 0.0217424
20 32 4 93.593 0.0173663
21 32 4 98.0539 0.0135489
22 32 4 102.511 0.0107925
23 32 4 106.967 0.00912145
24 32 4 111.425 0.0082322
25 32 4 115.882 0.00778979
26 32 4 120.342 0.00755038
27 32 4 124.799 0.0074503
28 32 4 129.255 0.0073982
29 32 4 133.709 0.00736337
0 32 5 4.45295 0.156036
1 32 5 8.93805 0.1559
2 32 5 13.3836 0.155466
3 32 5 17.8303 0.150348
4 32 5 22.2844 0.1112
5 32 5 26.7328 0.104382
6 32 5 31.1791 0.100552
7 32 5 37.84 0.0987181
8 32 5 44.5006 0.127295
9 32 5 51.1591 0.127295
10 32 5 57.8152 0.127295
11 32 5 64.4762 0.127295
12 32 5 71.136 0.127295
13 32 5 77.8021 0.127295
14 32 5 84.4639 0.127295
15 32 5 91.1214 0.127295
16 32 5 97.7895 0.127295
17 32 5 104.455 0.127295
18 32 5 111.119 0.127295
19 32 5 117.782 0.127295
20 32 5 124.447 0.127295
21 32 5 131.113 0.127295
22 32 5 137.775 0.127295
23 32 5 144.435 0.127295
24 32 5 151.1 0.127295
25 32 5 157.764 0.127295
26 32 5 164.426 0.127295
27 32 5 171.085 0.127295
28 32 5 177.743 0.127295
29 32 5 184.405 0.127295
0 32 6 4.44445 0.146094
1 32 6 8.88469 0.133883
2 32 6 13.325 0.125835
3 32 6 17.7661 0.120361
4 32 6 22.2069 0.115354
5 32 6 26.6498 0.111687
6 32 6 31.0903 0.108501
7 32 6 35.5285 0.106456
8 32 6 39.9674 0.105257
9 32 6 44.4055 0.104444
10 32 6 48.8421 0.103296
11 32 6 53.2804 0.10173
12 32 6 57.7181 0.0999048
13 32 6 62.1803 0.0973115
14 32 6 66.6228 0.0958672
15 32 6 71.0639 0.0955547
16 32 6 75.505 0.0955127
17 32 6 79.9467 0.0955118
18 32 6 84.3878 0.0955126
19 32 6 88.8289 0.0955042
20 32 6 93.2678 0.0954743
21 32 6 97.7089 0.0953999
22 32 6 102.149 0.0952683
23 32 6 106.589 0.0950959
24 32 6 111.028 0.0948302
25 32 6 115.468 0.0941988
26 32 6 119.907 0.0936669
27 32 6 124.346 0.0935804
28 32 6 128.787 0.0935737
29 32 6 133.227 0.0935734
0 48 0 5.91066 0.179327
1 48 0 11.8155 0.175833
2 48 0 17.7201 0.172734
3 48 0 23.6247 0.169963
4 48 0 29.53 0.16747
5 48 0 35.4559 0.165214
6 48 0 41.3622 0.163163
7 48 0 47.2688 0.161288
8 48 0 53.1928 0.159567
9 48 0 59.0977 0.157982
10 48 0 65.0021 0.156516
11 48 0 70.9091 0.155157
12 48 0 76.8164 0.153891
13 48 0 82.7212 0.15271
14 48 0 88.6252 0.151604
15 48 0 94.5282 0.150567
16 48 0 100.431 0.149591
17 48 0 106.336 0.14867
18 48 0 112.241 0.147801
19 48 0 118.144 0.146977
20 48 0 124.05 0.146195
21 48 0 129.955 0.145451
22 48 0 135.861 0.144743
23 48 0 141.767 0.144067
24 48 0 147.669 0.14342
25 48 0 153.571 0.142801
26 48 0 159.476 0.142206
27 48 0 165.378 0.141635
28 48 0 171.282 0.141085
29 48 0 177.183 0.140555
0 48 1 5.91119 0.212907
