iter k algo time relerr
0 16 0 1.4768 0.290319
1 16 0 2.92437 0.27734
2 16 0 4.36963 0.267608
3 16 0 5.81335 0.26004
4 16 0 7.25756 0.25399
5 16 0 8.7127 0.249043
6 16 0 10.1582 0.244924
7 16 0 11.6032 0.241437
8 16 0 13.0557 0.238445
9 16 0 14.4998 0.235845
10 16 0 15.9452 0.23356
11 16 0 17.3883 0.23153
12 16 0 18.8289 0.229708
13 16 0 20.2672 0.228058
14 16 0 21.7115 0.226549
15 16 0 23.1567 0.225157
16 16 0 24.6049 0.223861
17 16 0 26.0467 0.222645
18 16 0 27.4917 0.221492
19 16 0 28.9377 0.220392
20 16 0 30.3842 0.219333
21 16 0 31.8216 0.218304
22 16 0 33.2632 0.217299
23 16 0 34.7059 0.216308
24 16 0 36.1508 0.215325
25 16 0 37.5908 0.214344
26 16 0 39.0336 0.213359
27 16 0 40.4793 0.212365
28 16 0 41.9218 0.211358
29 16 0 43.364 0.210333
0 16 1 1.48015 0.309685
1 16 1 2.93033 0.2435
2 16 1 4.37836 0.21775
3 16 1 5.82624 0.193549
4 16 1 7.27551 0.174124
5 16 1 8.72586 0.160906
6 16 1 10.1771 0.150749
7 16 1 11.6251 0.142359
8 16 1 13.0732 0.135734
9 16 1 14.522 0.129986
10 16 1 15.968 0.124912
11 16 1 17.4109 0.120507
12 16 1 18.8565 0.11682
13 16 1 20.2989 0.113683
14 16 1 21.744 0.110909
15 16 1 23.1887 0.108364
16 16 1 24.6345 0.105965
17 16 1 26.0782 0.103636
18 16 1 27.5236 0.101296
19 16 1 28.968 0.0988492
20 16 1 30.4222 0.0962224
21 16 1 31.8683 0.0934432
22 16 1 33.317 0.0906577
23 16 1 34.7576 0.0879909
24 16 1 36.2054 0.085457
25 16 1 37.6514 0.0829915
26 16 1 39.1054 0.0805442
27 16 1 40.5504 0.0780928
28 16 1 41.9968 0.0756361
29 16 1 43.4414 0.0731971
0 16 2 1.48007 0.968455
1 16 2 2.92575 0.17559
2 16 2 4.37186 0.119292
3 16 2 5.81785 0.103544
4 16 2 7.26224 0.0945857
5 16 2 8.70581 0.0860632
6 16 2 10.1492 0.0779703
7 16 2 11.6011 0.0712356
8 16 2 13.0449 0.0657624
9 16 2 14.4864 0.0608097
10 16 2 15.9303 0.055429
11 16 2 17.3731 0.0491324
