iter	k	algo	totaltime	relerr
0	16	0	0.32438	0.294065
1	16	0	0.582413	0.279508
2	16	0	0.842145	0.269203
3	16	0	1.11066	0.261216
4	16	0	1.36569	0.254855
5	16	0	1.62151	0.24967
6	16	0	1.87812	0.245364
7	16	0	2.13493	0.24173
8	16	0	2.39043	0.238621
9	16	0	2.65146	0.235927
10	16	0	2.91071	0.233569
11	16	0	3.16551	0.231482
12	16	0	3.452	0.229617
13	16	0	3.70786	0.227934
14	16	0	3.96702	0.226401
15	16	0	4.22248	0.22499
16	16	0	4.47958	0.223678
17	16	0	4.73467	0.222445
18	16	0	4.99032	0.221272
19	16	0	5.244	0.220143
20	16	0	5.49891	0.219042
21	16	0	5.75319	0.217955
22	16	0	6.01148	0.216868
23	16	0	6.28434	0.215767
24	16	0	6.54258	0.214639
25	16	0	6.83054	0.213472
26	16	0	7.08732	0.212255
27	16	0	7.34371	0.210978
28	16	0	7.59857	0.209634
29	16	0	7.85153	0.208217
0	16	1	0.324988	0.340429
1	16	1	0.585802	0.332188
2	16	1	0.857567	0.327303
3	16	1	1.12271	0.326621
4	16	1	1.38199	0.325953
5	16	1	1.63854	0.325673
6	16	1	1.93929	0.325646
7	16	1	2.19952	0.32574
8	16	1	2.4646	0.325898
9	16	1	2.72624	0.32606
10	16	1	2.98815	0.32626
11	16	1	3.24825	0.326709
12	16	1	3.50859	0.327049
13	16	1	3.77168	0.326177
14	16	1	4.032	0.325873
15	16	1	4.29293	0.325802
16	16	1	4.55278	0.325712
17	16	1	4.81059	0.325494
18	16	1	5.08072	0.325441
19	16	1	5.33944	0.325465
20	16	1	5.63007	0.325487
21	16	1	5.89297	0.325537
22	16	1	6.16755	0.325589
23	16	1	6.42439	0.325595
24	16	1	6.70259	0.325586
25	16	1	6.96072	0.325574
26	16	1	7.22117	0.325585
27	16	1	7.48519	0.3256
28	16	1	7.74265	0.325545
29	16	1	8.00786	0.325513
0	16	2	0.324933	0.205337
1	16	2	0.582558	0.157627
2	16	2	0.844673	0.140942
3	16	2	1.10259	0.138147
4	16	2	1.36188	0.137385
5	16	2	1.61991	0.136974
6	16	2	1.87689	0.136589
7	16	2	2.13554	0.136198
8	16	2	2.39115	0.135824
9	16	2	2.6482	0.135496
10	16	2	2.90423	0.135214
11	16	2	3.16002	0.134977
12	16	2	3.41542	0.134792
13	16	2	3.67136	0.134647
14	16	2	3.93276	0.134535
15	16	2	4.18958	0.134444
16	16	2	4.44913	0.134368
17	16	2	4.70432	0.134305
18	16	2	4.96073	0.134251
19	16	2	5.21539	0.134204
20	16	2	5.47162	0.134161
21	16	2	5.73248	0.134122
22	16	2	5.98789	0.134086
23	16	2	6.2428	0.134051
24	16	2	6.50125	0.134018
25	16	2	6.75432	0.133985
26	16	2	7.01345	0.133953
27	16	2	7.26916	0.133921
28	16	2	7.52391	0.133889
29	16	2	7.77931	0.133857
0	16	4	0.334734	0.2054
1	16	4	0.599966	0.160532
2	16	4	0.886682	0.143211
3	16	4	1.14917	0.138584
4	16	4	1.41464	0.13758
5	16	4	1.67603	0.137142
6	16	4	1.95342	0.136881
7	16	4	2.21487	0.136699
8	16	4	2.47997	0.136576
9	16	4	2.74612	0.136497
10	16	4	3.04097	0.136444
11	16	4	3.30059	0.136408
12	16	4	3.56122	0.13638
13	16	4	3.86566	0.136357
14	16	4	4.12743	0.136338
15	16	4	4.38977	0.136322
16	16	4	4.66127	0.136309
17	16	4	4.92118	0.136297
18	16	4	5.18248	0.136287
19	16	4	5.44419	0.136279
20	16	4	5.70529	0.136272
21	16	4	5.96436	0.136266
22	16	4	6.22993	0.136262
23	16	4	6.49049	0.136258
24	16	4	6.75175	0.136255
25	16	4	7.02196	0.136253
26	16	4	7.28055	0.136251
27	16	4	7.53944	0.136249
28	16	4	7.79888	0.136248
29	16	4	8.08716	0.136247
0	16	5	0.413499	0.205602
1	16	5	0.913059	0.15053
2	16	5	1.28162	0.136497
3	16	5	1.6699	0.133956
4	16	5	2.01513	0.133014
5	16	5	2.35871	0.13257
6	16	5	2.77939	0.132325
7	16	5	3.33696	0.132171
8	16	5	3.82693	0.132064
9	16	5	4.32101	0.131982
10	16	5	4.8079	0.131918
11	16	5	5.31643	0.131866
12	16	5	5.8382	0.131822
13	16	5	6.34361	0.131785
14	16	5	6.84486	0.131753
15	16	5	7.32956	0.131726
16	16	5	7.82591	0.131702
17	16	5	8.37766	0.13168
18	16	5	8.91361	0.131661
19	16	5	9.40084	0.131644
20	16	5	9.88507	0.131629
21	16	5	10.3773	0.131615
22	16	5	10.9429	0.131602
23	16	5	11.4951	0.13159
24	16	5	11.9783	0.131579
25	16	5	12.5126	0.131569
26	16	5	12.9903	0.13156
27	16	5	13.4773	0.131551
28	16	5	14.0521	0.131543
29	16	5	14.5431	0.131536
0	16	6	0.323701	0.324835
1	16	6	0.584275	0.296633
2	16	6	0.844763	0.288689
3	16	6	1.1022	0.286399
4	16	6	1.35899	0.284384
5	16	6	1.61541	0.283287
6	16	6	1.87061	0.28275
7	16	6	2.12987	0.283544
8	16	6	2.38511	0.285284
9	16	6	2.64225	0.283091
10	16	6	2.8988	0.282056
11	16	6	3.15392	0.281989
12	16	6	3.408	0.282231
13	16	6	3.66496	0.282537
14	16	6	3.93331	0.282412
15	16	6	4.18576	0.282074
16	16	6	4.44119	0.28188
17	16	6	4.73756	0.281811
18	16	6	4.99377	0.281788
19	16	6	5.2519	0.281779
20	16	6	5.51421	0.281774
21	16	6	5.76815	0.281772
22	16	6	6.0259	0.28177
23	16	6	6.28012	0.281769
24	16	6	6.53324	0.281767
25	16	6	6.78751	0.281767
26	16	6	7.05025	0.281766
27	16	6	7.30438	0.281765
28	16	6	7.55883	0.281765
29	16	6	7.81775	0.281764
0	32	0	0.340256	0.257421
1	32	0	0.608417	0.250408
2	32	0	0.872993	0.245459
3	32	0	1.14038	0.24132
4	32	0	1.404	0.237805
5	32	0	1.66717	0.234778
6	32	0	1.93737	0.232141
7	32	0	2.20151	0.229818
8	32	0	2.46583	0.227752
9	32	0	2.73005	0.225896
10	32	0	2.99487	0.224214
11	32	0	3.25862	0.222676
12	32	0	3.52203	0.221255
13	32	0	3.79037	0.21993
14	32	0	4.05502	0.218681
15	32	0	4.32208	0.217491
16	32	0	4.58711	0.216343
17	32	0	4.85622	0.215221
18	32	0	5.1264	0.21411
19	32	0	5.39223	0.212995
20	32	0	5.65588	0.21186
21	32	0	5.92013	0.21069
22	32	0	6.19501	0.20947
23	32	0	6.45887	0.208182
24	32	0	6.72494	0.206814
25	32	0	6.99882	0.205351
26	32	0	7.26727	0.203782
27	32	0	7.53792	0.202099
28	32	0	7.80092	0.200297
29	32	0	8.06516	0.19838
0	32	1	0.340535	0.339054
1	32	1	0.638362	0.330369
2	32	1	0.911746	0.327551
3	32	1	1.19317	0.325925
4	32	1	1.4645	0.325475
5	32	1	1.73488	0.325324
6	32	1	2.01328	0.325238
7	32	1	2.2824	0.32522
8	32	1	2.55523	0.325205
9	32	1	2.82368	0.325148
10	32	1	3.10875	0.32512
11	32	1	3.37789	0.325138
12	32	1	3.64907	0.325124
13	32	1	3.91702	0.325083
14	32	1	4.18875	0.325067
15	32	1	4.46816	0.325055
16	32	1	4.73874	0.325042
17	32	1	5.00917	0.325039
18	32	1	5.27919	0.325042
19	32	1	5.55797	0.325048
20	32	1	5.83072	0.325024
21	32	1	6.11119	0.325008
22	32	1	6.38422	0.325
23	32	1	6.65379	0.324994
24	32	1	6.93789	0.324988
25	32	1	7.20726	0.324981
26	32	1	7.47749	0.324991
27	32	1	7.74809	0.325002
28	32	1	8.02279	0.32501
29	32	1	8.29195	0.325019
0	32	2	0.34952	0.185183
1	32	2	0.620715	0.131192
2	32	2	0.894337	0.120446
3	32	2	1.16321	0.117003
4	32	2	1.42918	0.115071
5	32	2	1.69552	0.113605
6	32	2	1.96444	0.112427
7	32	2	2.22943	0.111459
8	32	2	2.49766	0.110649
9	32	2	2.77697	0.110017
10	32	2	3.04573	0.109525
11	32	2	3.30956	0.109169
12	32	2	3.57548	0.108909
13	32	2	3.8405	0.108709
14	32	2	4.11655	0.108544
15	32	2	4.41637	0.108403
16	32	2	4.6859	0.10828
17	32	2	4.95517	0.108179
18	32	2	5.22495	0.108095
19	32	2	5.49162	0.108023
20	32	2	5.76198	0.107958
21	32	2	6.02821	0.107898
22	32	2	6.29683	0.107839
23	32	2	6.56745	0.10778
24	32	2	6.83577	0.107723
25	32	2	7.09945	0.107667
26	32	2	7.36857	0.107613
27	32	2	7.63547	0.107566
28	32	2	7.89995	0.107521
29	32	2	8.16973	0.107478
0	32	4	0.35132	0.189558
1	32	4	0.626014	0.125063
2	32	4	0.907084	0.114425
3	32	4	1.18302	0.111367
4	32	4	1.46663	0.109784
5	32	4	1.74691	0.108921
6	32	4	2.02316	0.108484
7	32	4	2.30716	0.108241
8	32	4	2.58588	0.108085
9	32	4	2.86313	0.107976
10	32	4	3.15063	0.107894
11	32	4	3.42523	0.10783
12	32	4	3.6988	0.107779
13	32	4	3.98377	0.107735
14	32	4	4.25604	0.107698
15	32	4	4.5268	0.107666
16	32	4	4.82603	0.107637
17	32	4	5.10009	0.107611
18	32	4	5.37588	0.107588
19	32	4	5.67707	0.107567
20	32	4	5.95278	0.107548
21	32	4	6.22346	0.107531
22	32	4	6.50043	0.107516
23	32	4	6.77294	0.107502
24	32	4	7.05833	0.107489
25	32	4	7.34203	0.107478
26	32	4	7.62385	0.107469
27	32	4	7.89501	0.10746
28	32	4	8.20932	0.107452
29	32	4	8.47799	0.107444
0	32	5	0.510224	0.185007
1	32	5	1.1152	0.117733
2	32	5	1.6541	0.108996
3	32	5	2.09627	0.106358
4	32	5	2.54271	0.105431
5	32	5	2.96928	0.104972
6	32	5	3.4762	0.104693
7	32	5	4.13622	0.104506
8	32	5	4.72091	0.10437
9	32	5	5.31776	0.104265
10	32	5	5.95321	0.104181
11	32	5	6.60414	0.104113
12	32	5	7.18166	0.104055
13	32	5	7.75912	0.104006
14	32	5	8.34628	0.103963
15	32	5	8.95877	0.103926
16	32	5	9.5348	0.103893
17	32	5	10.1197	0.103863
18	32	5	10.7733	0.103836
19	32	5	11.4696	0.103812
20	32	5	12.0419	0.10379
21	32	5	12.6028	0.10377
22	32	5	13.2145	0.103751
23	32	5	13.8614	0.103734
24	32	5	14.4396	0.103719
25	32	5	15.0201	0.103704
26	32	5	15.6326	0.103691
27	32	5	16.2859	0.103678
28	32	5	16.8646	0.103667
29	32	5	17.4426	0.103656
0	32	6	0.337805	0.320448
1	32	6	0.607062	0.292682
2	32	6	0.874651	0.286964
3	32	6	1.13937	0.285324
4	32	6	1.40278	0.282361
5	32	6	1.67875	0.280988
6	32	6	1.94811	0.281724
7	32	6	2.21283	0.281461
8	32	6	2.47895	0.279277
9	32	6	2.74314	0.278524
10	32	6	3.0116	0.278558
11	32	6	3.2762	0.278214
12	32	6	3.53802	0.277816
13	32	6	3.80286	0.27749
14	32	6	4.07752	0.277297
15	32	6	4.34285	0.277266
16	32	6	4.61037	0.277255
17	32	6	4.8768	0.27725
18	32	6	5.14063	0.277247
19	32	6	5.41389	0.277246
20	32	6	5.68038	0.277244
21	32	6	5.94428	0.277244
22	32	6	6.21223	0.277243
23	32	6	6.48278	0.277242
24	32	6	6.74762	0.277242
25	32	6	7.01143	0.277242
26	32	6	7.27747	0.277242
27	32	6	7.54143	0.277241
28	32	6	7.8089	0.277241
29	32	6	8.07308	0.277241
0	48	0	0.348965	0.23902
1	48	0	0.627221	0.234782
2	48	0	0.901107	0.231991
3	48	0	1.17279	0.229556
4	48	0	1.44321	0.227409
5	48	0	1.7147	0.225499
6	48	0	1.98541	0.223785
7	48	0	2.25521	0.222234
8	48	0	2.52407	0.22082
9	48	0	2.79205	0.219519
10	48	0	3.06156	0.218314
11	48	0	3.33424	0.217187
12	48	0	3.60216	0.216125
13	48	0	3.87088	0.215114
14	48	0	4.14338	0.214142
15	48	0	4.41284	0.213196
16	48	0	4.68257	0.212266
17	48	0	4.95534	0.21134
18	48	0	5.22474	0.210405
