iter k algo time relerr
0 16 0 0.318561 0.294065
1 16 0 0.574142 0.279508
2 16 0 0.833667 0.269203
3 16 0 1.09188 0.261216
4 16 0 1.34924 0.254855
5 16 0 1.60806 0.24967
6 16 0 1.86416 0.245364
7 16 0 2.12068 0.24173
8 16 0 2.37578 0.238621
9 16 0 2.63381 0.235927
10 16 0 2.88888 0.233569
11 16 0 3.14297 0.231482
12 16 0 3.39936 0.229617
13 16 0 3.65337 0.227934
14 16 0 3.90833 0.226401
15 16 0 4.16187 0.22499
16 16 0 4.41664 0.223678
17 16 0 4.67015 0.222445
18 16 0 4.92565 0.221272
19 16 0 5.17964 0.220143
20 16 0 5.43563 0.219042
21 16 0 5.69207 0.217955
22 16 0 5.94746 0.216868
23 16 0 6.20054 0.215767
24 16 0 6.45491 0.214639
25 16 0 6.70838 0.213472
26 16 0 6.96377 0.212255
27 16 0 7.21772 0.210978
28 16 0 7.47258 0.209634
29 16 0 7.73023 0.208217
0 16 1 0.32299 0.340429
1 16 1 0.580695 0.332188
2 16 1 0.841029 0.327303
3 16 1 1.09921 0.326621
4 16 1 1.35825 0.325953
5 16 1 1.61417 0.325673
6 16 1 1.87441 0.325646
7 16 1 2.13013 0.32574
8 16 1 2.38931 0.325898
9 16 1 2.64859 0.32606
10 16 1 2.90555 0.32626
11 16 1 3.16089 0.326709
12 16 1 3.41919 0.327049
13 16 1 3.67766 0.326177
14 16 1 3.93669 0.325873
15 16 1 4.19207 0.325802
16 16 1 4.44836 0.325712
17 16 1 4.7046 0.325494
18 16 1 4.96389 0.325441
19 16 1 5.22175 0.325465
20 16 1 5.47906 0.325487
21 16 1 5.73708 0.325537
22 16 1 5.99646 0.325589
23 16 1 6.25405 0.325595
24 16 1 6.51188 0.325586
25 16 1 6.76942 0.325574
26 16 1 7.02598 0.325585
27 16 1 7.2823 0.3256
28 16 1 7.5363 0.325545
29 16 1 7.79281 0.325513
0 16 2 0.327844 0.205337
1 16 2 0.582343 0.157627
2 16 2 0.838015 0.140942
3 16 2 1.09485 0.138147
4 16 2 1.3545 0.137385
5 16 2 1.6108 0.136974
6 16 2 1.86707 0.136589
7 16 2 2.12158 0.136198
8 16 2 2.38142 0.135824
9 16 2 2.63784 0.135496
10 16 2 2.894 0.135214
11 16 2 3.14742 0.134977
12 16 2 3.40221 0.134792
13 16 2 3.65619 0.134647
14 16 2 3.91069 0.134535
15 16 2 4.16368 0.134444
16 16 2 4.41616 0.134368
17 16 2 4.67009 0.134305
18 16 2 4.92585 0.134251
19 16 2 5.18014 0.134204
20 16 2 5.43243 0.134161
21 16 2 5.68666 0.134122
22 16 2 5.94273 0.134086
23 16 2 6.19743 0.134051
24 16 2 6.45256 0.134018
25 16 2 6.7051 0.133985
26 16 2 6.96168 0.133953
27 16 2 7.23385 0.133921
28 16 2 7.4888 0.133889
29 16 2 7.74323 0.133857
0 16 4 0.341638 0.2054
1 16 4 0.602118 0.160532
2 16 4 0.865355 0.143211
3 16 4 1.12836 0.138584
4 16 4 1.38819 0.13758
5 16 4 1.64758 0.137142
6 16 4 1.90876 0.136881
7 16 4 2.16834 0.136699
8 16 4 2.43063 0.136576
9 16 4 2.69408 0.136497
10 16 4 2.95716 0.136444
11 16 4 3.21849 0.136408
12 16 4 3.47866 0.13638
13 16 4 3.73785 0.136357
14 16 4 3.99871 0.136338
15 16 4 4.25807 0.136322
16 16 4 4.51784 0.136309
17 16 4 4.77696 0.136297
18 16 4 5.03897 0.136287
19 16 4 5.30006 0.136279
20 16 4 5.56252 0.136272
21 16 4 5.8218 0.136266
22 16 4 6.0823 0.136262
23 16 4 6.3436 0.136258
24 16 4 6.60281 0.136255
25 16 4 6.86233 0.136253
26 16 4 7.12354 0.136251
27 16 4 7.38091 0.136249
28 16 4 7.63819 0.136248
29 16 4 7.89757 0.136247
0 16 5 0.334491 0.205267
1 16 5 0.598516 0.159673
2 16 5 0.864243 0.142442
