iter	k	algo	totaltime	relerr
0	32	0	2.02238	0.545247
1	32	0	3.97502	0.543435
2	32	0	5.92939	0.541953
3	32	0	7.878	0.540719
4	32	0	9.82626	0.539676
5	32	0	11.7811	0.538783
6	32	0	13.7355	0.53801
7	32	0	15.6862	0.537334
8	32	0	17.6423	0.536739
9	32	0	19.6161	0.53621
10	32	0	21.5771	0.535737
11	32	0	23.5274	0.535312
12	32	0	25.4782	0.534927
13	32	0	27.4268	0.534578
14	32	0	29.3782	0.534259
15	32	0	31.3332	0.533966
16	32	0	33.2859	0.533697
17	32	0	35.2322	0.533448
18	32	0	37.1821	0.533217
19	32	0	39.2275	0.533002
20	32	0	41.1878	0.532802
21	32	0	43.1335	0.532615
22	32	0	45.0801	0.532439
23	32	0	47.0256	0.532273
24	32	0	48.9736	0.532117
25	32	0	50.9196	0.53197
26	32	0	52.8664	0.53183
27	32	0	54.8108	0.531697
28	32	0	56.7589	0.53157
29	32	0	58.7079	0.53145
0	64	0	3.63755	0.537687
1	64	0	7.2271	0.537077
2	64	0	10.8262	0.536535
3	64	0	14.4083	0.536047
4	64	0	17.9886	0.535605
5	64	0	21.5663	0.535204
6	64	0	25.1481	0.534837
7	64	0	28.7273	0.534499
8	64	0	32.3087	0.534188
9	64	0	35.8943	0.5339
10	64	0	39.474	0.533633
11	64	0	43.0519	0.533383
12	64	0	46.6357	0.533149
13	64	0	50.2175	0.53293
14	64	0	53.7977	0.532723
15	64	0	57.3717	0.532528
16	64	0	60.9547	0.532343
17	64	0	64.5344	0.532168
18	64	0	68.1249	0.532001
19	64	0	71.7037	0.531842
20	64	0	75.2784	0.53169
21	64	0	78.8544	0.531545
22	64	0	82.4314	0.531405
23	64	0	86.0029	0.53127
24	64	0	89.5784	0.531141
25	64	0	93.1503	0.531016
26	64	0	96.729	0.530895
27	64	0	100.299	0.530778
28	64	0	103.875	0.530664
29	64	0	107.449	0.530554
0	96	0	5.19027	0.535159
1	96	0	10.318	0.534798
2	96	0	15.4573	0.534465
3	96	0	20.5903	0.534157
4	96	0	25.7228	0.533871
5	96	0	30.8459	0.533604
6	96	0	35.9743	0.533355
7	96	0	41.106	0.533121
8	96	0	46.2378	0.532901
9	96	0	51.3678	0.532694
10	96	0	56.5072	0.532497
11	96	0	61.6429	0.53231
12	96	0	66.786	0.532133
13	96	0	71.9134	0.531963
14	96	0	77.048	0.531801
15	96	0	82.1767	0.531646
16	96	0	87.3223	0.531496
17	96	0	92.462	0.531353
18	96	0	97.6006	0.531214
19	96	0	102.735	0.53108
20	96	0	107.874	0.530951
21	96	0	113.016	0.530825
22	96	0	118.173	0.530703
23	96	0	123.314	0.530584
24	96	0	128.458	0.530469
25	96	0	133.6	0.530356
26	96	0	138.747	0.530246
27	96	0	143.884	0.530138
28	96	0	149.03	0.530033
29	96	0	154.175	0.52993
0	32	1	2.01717	0.529315
1	32	1	3.96443	0.528652
2	32	1	5.91385	0.528316
3	32	1	7.86087	0.528174
4	32	1	9.80926	0.5281
5	32	1	11.758	0.528056
6	32	1	13.7055	0.528026
7	32	1	15.6537	0.528004
8	32	1	17.6101	0.527984
9	32	1	19.57	0.527969
10	32	1	21.522	0.527956
11	32	1	23.4769	0.527941
12	32	1	25.4283	0.527922
13	32	1	27.3817	0.527901
14	32	1	29.335	0.527884
15	32	1	31.2861	0.527871
16	32	1	33.2352	0.52786
17	32	1	35.1845	0.527853
18	32	1	37.135	0.527847
19	32	1	39.0896	0.527841
20	32	1	41.0442	0.527835
21	32	1	42.9917	0.527828
22	32	1	44.9386	0.527819
23	32	1	46.8875	0.527808
24	32	1	48.8399	0.527795
25	32	1	50.7881	0.527784
26	32	1	52.7368	0.527777
27	32	1	54.6846	0.527772
28	32	1	56.6619	0.527767
29	32	1	58.6089	0.527761
0	64	1	3.61823	0.529105
1	64	1	7.18358	0.528488
2	64	1	10.7456	0.528192
3	64	1	14.308	0.528035
4	64	1	17.8725	0.527949
5	64	1	21.4284	0.527858
6	64	1	24.9957	0.527801
7	64	1	28.5664	0.527748
8	64	1	32.1325	0.527691
9	64	1	35.6951	0.527641
10	64	1	39.2566	0.5276
11	64	1	42.826	0.527571
12	64	1	46.3869	0.527548
13	64	1	49.9555	0.527528
14	64	1	53.5355	0.527511
