iter	k	algo	totaltime	relerr
0	16	0	0.254153	0.557245
1	16	0	0.438502	0.552241
2	16	0	0.624458	0.548613
3	16	0	0.808772	0.545875
4	16	0	1.00112	0.54374
5	16	0	1.18524	0.542033
6	16	0	1.37147	0.540639
7	16	0	1.55588	0.539483
8	16	0	1.7409	0.538509
9	16	0	1.92527	0.537679
10	16	0	2.10914	0.536964
11	16	0	2.29327	0.536342
12	16	0	2.47847	0.535798
13	16	0	2.66283	0.535317
14	16	0	2.84732	0.534889
15	16	0	3.03189	0.534508
16	16	0	3.21813	0.534164
17	16	0	3.45088	0.533855
18	16	0	3.63544	0.533574
19	16	0	3.81749	0.533318
20	16	0	4.03233	0.533085
21	16	0	4.2188	0.53287
22	16	0	4.40373	0.532673
23	16	0	4.58806	0.532491
24	16	0	4.79449	0.532323
25	16	0	4.97926	0.532166
26	16	0	5.16154	0.532021
27	16	0	5.34879	0.531885
28	16	0	5.53106	0.531757
29	16	0	5.71525	0.531638
0	16	1	0.266131	0.529391
1	16	1	0.452151	0.528784
2	16	1	0.640553	0.52859
3	16	1	0.826927	0.5285
4	16	1	1.02015	0.528449
5	16	1	1.21461	0.528411
6	16	1	1.40182	0.52838
7	16	1	1.58796	0.528349
8	16	1	1.77441	0.528313
9	16	1	1.96646	0.528278
10	16	1	2.15987	0.528254
11	16	1	2.34607	0.528237
12	16	1	2.53275	0.528222
13	16	1	2.71968	0.52821
14	16	1	2.90388	0.5282
15	16	1	3.08993	0.528193
16	16	1	3.27373	0.528185
17	16	1	3.46217	0.528178
18	16	1	3.65397	0.528172
19	16	1	3.83802	0.528168
20	16	1	4.02377	0.528164
21	16	1	4.20774	0.52816
22	16	1	4.39741	0.528157
23	16	1	4.58357	0.528154
24	16	1	4.76797	0.528153
25	16	1	4.95171	0.528152
26	16	1	5.16905	0.528152
27	16	1	5.3552	0.528152
28	16	1	5.54158	0.528153
29	16	1	5.7278	0.528153
0	16	2	0.255022	0.545042
1	16	2	0.4399	0.530978
2	16	2	0.628307	0.527998
3	16	2	0.81333	0.526975
4	16	2	0.995836	0.526565
5	16	2	1.18038	0.526357
6	16	2	1.365	0.526247
7	16	2	1.54953	0.526175
8	16	2	1.77241	0.526114
9	16	2	1.95905	0.526058
10	16	2	2.1439	0.526007
11	16	2	2.32865	0.525963
12	16	2	2.5116	0.525933
13	16	2	2.70941	0.525904
14	16	2	2.89394	0.52588
