iter k algo time relerr 
0 16 0 0.273738 0.557245
1 16 0 0.462426 0.552241
2 16 0 0.652481 0.548613
3 16 0 0.842306 0.545875
4 16 0 1.0333 0.54374
5 16 0 1.22151 0.542033
6 16 0 1.41086 0.540639
7 16 0 1.60026 0.539483
8 16 0 1.78818 0.538509
9 16 0 1.97594 0.537679
10 16 0 2.1643 0.536964
11 16 0 2.35404 0.536342
12 16 0 2.54383 0.535798
13 16 0 2.73335 0.535317
14 16 0 2.92115 0.534889
15 16 0 3.11258 0.534508
16 16 0 3.30088 0.534164
17 16 0 3.48914 0.533855
18 16 0 3.67704 0.533574
19 16 0 3.8653 0.533318
20 16 0 4.05457 0.533085
21 16 0 4.24241 0.53287
22 16 0 4.43331 0.532673
23 16 0 4.62277 0.532491
24 16 0 4.81059 0.532323
25 16 0 4.9984 0.532166
26 16 0 5.18636 0.532021
27 16 0 5.37422 0.531885
28 16 0 5.56117 0.531757
29 16 0 5.74792 0.531638
0 16 1 0.275866 0.529391
1 16 1 0.467551 0.528784
2 16 1 0.659465 0.52859
3 16 1 0.849585 0.5285
4 16 1 1.04131 0.528449
5 16 1 1.23265 0.528411
6 16 1 1.42399 0.52838
7 16 1 1.61425 0.528349
8 16 1 1.806 0.528313
9 16 1 1.99672 0.528278
10 16 1 2.18713 0.528254
11 16 1 2.37741 0.528237
12 16 1 2.56917 0.528222
13 16 1 2.76108 0.52821
14 16 1 2.95144 0.5282
15 16 1 3.14379 0.528193
16 16 1 3.33543 0.528185
17 16 1 3.5257 0.528178
18 16 1 3.71906 0.528172
19 16 1 3.90907 0.528168
20 16 1 4.10052 0.528164
21 16 1 4.29197 0.52816
22 16 1 4.48421 0.528157
23 16 1 4.67508 0.528154
24 16 1 4.86589 0.528153
25 16 1 5.05722 0.528152
26 16 1 5.24914 0.528152
27 16 1 5.44086 0.528152
28 16 1 5.63143 0.528153
29 16 1 5.82304 0.528153
0 16 2 0.27691 0.545042
1 16 2 0.466986 0.530978
2 16 2 0.65942 0.527998
3 16 2 0.850836 0.526975
4 16 2 1.04486 0.526565
5 16 2 1.23526 0.526357
6 16 2 1.42646 0.526247
7 16 2 1.61807 0.526175
8 16 2 1.8096 0.526114
9 16 2 1.9998 0.526058
10 16 2 2.19021 0.526007
11 16 2 2.38191 0.525963
12 16 2 2.57305 0.525933
13 16 2 2.76517 0.525904
14 16 2 2.9567 0.52588
15 16 2 3.14884 0.525865
16 16 2 3.33965 0.525861
17 16 2 3.52946 0.52586
18 16 2 3.72044 0.525865
19 16 2 3.91229 0.525875
20 16 2 4.10192 0.525888
21 16 2 4.29437 0.525899
22 16 2 4.48618 0.525907
23 16 2 4.67636 0.525913
24 16 2 4.8668 0.525925
25 16 2 5.05722 0.525936
26 16 2 5.24755 0.525949
27 16 2 5.43995 0.525959
28 16 2 5.63051 0.525965
29 16 2 5.82145 0.525972
0 16 4 0.308536 0.528968
1 16 4 0.511424 0.527856
2 16 4 0.722845 0.527505
3 16 4 0.928321 0.52726
