iter	k	algo	totaltime	relerr	gpu
0	16	0	0.104851	0.942469	1
1	16	0	0.203997	0.941984	1
2	16	0	0.303495	0.941642	1
3	16	0	0.403787	0.941387	1
4	16	0	0.503895	0.941192	1
5	16	0	0.611729	0.941036	1
6	16	0	0.818623	0.940911	1
7	16	0	0.95881	0.940807	1
8	16	0	1.16314	0.94072	1
9	16	0	1.26379	0.940646	1
10	16	0	1.36257	0.940582	1
11	16	0	1.47348	0.940527	1
12	16	0	1.57735	0.940479	1
13	16	0	1.67821	0.940437	1
14	16	0	1.77811	0.940399	1
15	16	0	1.87762	0.940366	1
16	16	0	1.97652	0.940336	1
17	16	0	2.07574	0.940309	1
18	16	0	2.1746	0.940284	1
19	16	0	2.27419	0.940262	1
20	16	0	2.37323	0.940242	1
21	16	0	2.47286	0.940223	1
22	16	0	2.59931	0.940206	1
23	16	0	2.72691	0.940191	1
24	16	0	2.83219	0.940176	1
25	16	0	2.93147	0.940163	1
26	16	0	3.03731	0.94015	1
27	16	0	3.1366	0.940139	1
28	16	0	3.23679	0.940128	1
29	16	0	3.33646	0.940118	1
0	16	0	0.0471081	0.942469	0
1	16	0	0.0826986	0.941984	0
2	16	0	0.116881	0.941642	0
3	16	0	0.149455	0.941387	0
4	16	0	0.183888	0.941192	0
5	16	0	0.216174	0.941036	0
6	16	0	0.248097	0.940911	0
7	16	0	0.29717	0.940807	0
8	16	0	0.356006	0.94072	0
9	16	0	0.395481	0.940646	0
10	16	0	0.434449	0.940582	0
11	16	0	0.479955	0.940527	0
12	16	0	0.535168	0.940479	0
13	16	0	0.661507	0.940437	0
14	16	0	0.703634	0.940399	0
15	16	0	0.737312	0.940366	0
16	16	0	0.768441	0.940336	0
17	16	0	0.800247	0.940309	0
18	16	0	0.831329	0.940284	0
19	16	0	0.862532	0.940262	0
20	16	0	0.893592	0.940242	0
21	16	0	0.925065	0.940223	0
22	16	0	0.955792	0.940206	0
23	16	0	0.986666	0.940191	0
24	16	0	1.01844	0.940176	0
25	16	0	1.0492	0.940163	0
26	16	0	1.08007	0.94015	0
27	16	0	1.11085	0.940139	0
28	16	0	1.14177	0.940128	0
29	16	0	1.17371	0.940118	0
0	16	1	0.113862	0.939894	1
1	16	1	0.217176	0.939893	1
2	16	1	0.320283	0.939892	1
3	16	1	0.441799	0.939891	1
4	16	1	0.58754	0.939891	1
5	16	1	0.694179	0.939891	1
6	16	1	0.797536	0.939891	1
7	16	1	0.903775	0.939891	1
8	16	1	1.01444	0.939891	1
9	16	1	1.13214	0.939891	1
10	16	1	1.24279	0.939891	1
11	16	1	1.34811	0.939891	1
12	16	1	1.46562	0.939891	1
13	16	1	1.56881	0.939891	1
14	16	1	1.67507	0.939891	1
15	16	1	1.77837	0.939891	1
16	16	1	1.8857	0.939891	1
17	16	1	1.99311	0.939891	1
18	16	1	2.14009	0.939891	1
19	16	1	2.27372	0.939891	1
20	16	1	2.39383	0.939891	1
21	16	1	2.49887	0.939891	1
22	16	1	2.60283	0.939891	1
23	16	1	2.70543	0.939891	1
24	16	1	2.81033	0.939891	1
