algo-k allgather allreduce comm comp d gram krp mttkrp multittv nnls reducescatter total_time
27x3x1x1-10 0.0233079 0.00220306 0.0422879 0.706172 0.0 0.00238695 0.0 0.631294 0.0531063 0.0177954 0.0167769 0.7484599
27x3x1x1-20 0.0237006 0.00378358 0.0495797 0.744428 0.0 0.00300165 0.0 0.62861 0.0875289 0.0232745 0.0220955 0.7940077
27x3x1x1-30 0.0224419 0.00500792 0.055412 0.953684 0.0 0.00399419 0.0 0.804004 0.116794 0.0264276 0.0279621 1.009096
27x3x1x1-40 0.0272191 0.0151843 0.0813578 1.15078 0.0 0.00412368 0.0 0.955962 0.150983 0.0368568 0.0389544 1.2321378
27x3x1x1-50 0.0203286 0.0183836 0.0738409 1.36171 0.0 0.00463039 0.0 1.13096 0.183855 0.0389965 0.0351287 1.4355509
3x3x3x3-10 0.00584913 0.0034117 0.0151148 0.807822 0.0 0.0024685 0.0 0.708675 0.0774371 0.0177167 0.00585396 0.8229368
3x3x3x3-20 0.00542136 0.00403107 0.0416302 1.3473 0.0 0.0035476 0.0 1.18285 0.135878 0.023348 0.0321778 1.3889302
3x3x3x3-30 0.00526125 0.00413023 0.0364853 1.36009 0.0 0.00372842 0.0 1.13207 0.196171 0.0264746 0.0270938 1.3965753
3x3x3x3-40 0.0182381 0.0119029 0.0606635 1.66392 0.0 0.00396698 0.0 1.36215 0.256851 0.0391067 0.0305225 1.7245835
3x3x3x3-50 0.0103259 0.0143234 0.0517875 1.95097 0.0 0.00466034 0.0 1.58804 0.317445 0.038761 0.0271382 2.0027575
81x1x1x1-10 0.0235501 0.00274398 0.0428143 0.73152 0.0 0.00268936 0.0 0.637082 0.0722998 0.017652 0.0165203 0.7743343
81x1x1x1-20 0.0243545 0.0038696 0.0494726 0.810968 0.0 0.00325793 0.0 0.6397 0.133289 0.0325879 0.0212485 0.8604406
81x1x1x1-30 0.023109 0.00381693 0.0525746 1.04205 0.0 0.00328611 0.0 0.810579 0.201691 0.0240303 0.0256487 1.0946246
81x1x1x1-40 0.0220961 0.0160744 0.0749424 1.27495 0.0 0.00436917 0.0 0.960239 0.272928 0.0344259 0.0367719 1.3498924
81x1x1x1-50 0.021245 0.0210587 0.0773194 1.52684 0.0 0.00504296 0.0 1.13896 0.343398 0.0358665 0.0350158 1.6041594
9x3x3x1-10 0.0250272 0.00463129 0.0423144 0.696365 0.0 0.0032674 0.0 0.63204 0.0411304 0.0180294 0.0126559 0.7386794
9x3x3x1-20 0.0229695 0.00334585 0.0478564 0.720503 0.0 0.00288442 0.0 0.627577 0.0636244 0.0246969 0.0215411 0.7683594
9x3x3x1-30 0.0227862 0.00462242 0.052297 0.916633 0.0 0.00326864 0.0 0.799477 0.0859716 0.0258818 0.0248884 0.96893
9x3x3x1-40 0.0270137 0.0141643 0.0788357 1.10162 0.0 0.00393291 0.0 0.951659 0.105309 0.0384563 0.0376576 1.1804557
9x3x3x1-50 0.0157845 0.0182506 0.0672441 1.30187 0.0 0.00431347 0.0 1.12576 0.128238 0.0410975 0.0332091 1.3691141
9x9x1x1-10 0.0238488 0.00264093 0.0430268 0.68202 0.0 0.00266596 0.0 0.62019 0.0397834 0.0176267 0.016537 0.7250468
9x9x1x1-20 0.0233007 0.00348874 0.0439624 0.720346 0.0 0.00299313 0.0 0.627318 0.0641712 0.0240651 0.0171729 0.7643084
9x9x1x1-30 0.0232604 0.00543496 0.047334 0.917797 0.0 0.00414665 0.0 0.800943 0.0856437 0.0244494 0.0186386 0.965131
9x9x1x1-40 0.0205756 0.0148321 0.0748622 1.10155 0.0 0.0044169 0.0 0.952678 0.106394 0.0355038 0.0394546 1.1764122
9x9x1x1-50 0.016934 0.0248447 0.0823138 1.30496 0.0 0.00442305 0.0 1.12497 0.129494 0.0427563 0.040535 1.3872738
