alg-p allgather allreduce comm comp d err_communication err_compute gram krp mttkrp multittv nnls reducescatter total_time
0-1 0.116232 0.370108 1.29799 44.577 0.0 0.00774509 0.00774509 0.101483 0.0 43.9107 0.47131 0.0463535 0.807822 45.87499
0-2 0.159266 0.340809 1.46657 44.5598 0.0 0.011371 0.011371 0.0980536 0.0 43.8935 0.465354 0.0458315 0.957672 46.02637
0-3 0.199639 0.355542 1.68129 43.7585 0.0 0.0108096 0.0108096 0.130229 0.0 43.2085 0.303859 0.0647067 1.11768 45.43979
0-4 0.0821295 0.276208 1.24089 43.6104 0.0 0.00753213 0.00753213 0.0677795 0.0 43.2263 0.24527 0.0341947 0.87903 44.85129
1-1 0.125829 0.331574 1.42277 45.4254 0.0 0.00828674 0.00828674 0.0722065 0.0 43.8311 0.471911 1.00301 0.961445 46.84817
1-2 0.0890068 0.279422 1.1337 45.0449 0.0 0.00816029 0.00816029 0.0514988 0.0 43.8697 0.466663 0.618555 0.76203 46.1786
1-3 0.0719582 0.259767 1.30422 44.2646 0.0 0.00780579 0.00780579 0.0520689 0.0 43.2615 0.303956 0.613348 0.969295 45.56882
1-4 0.0679277 0.232309 1.29035 44.0382 0.0 0.00789332 0.00789332 0.053648 0.0 43.0845 0.242704 0.627987 0.987558 45.32855
2-1 0.103248 0.310988 1.10548 44.5759 0.0 0.00704121 0.00704121 0.0512415 0.0 43.9336 0.471469 0.0776482 0.687942 45.68138
2-2 0.0953848 0.257618 1.13953 44.5038 0.0 0.00845058 0.00845058 0.0498147 0.0 43.8722 0.466146 0.077224 0.783042 45.64333
2-3 0.0758692 0.248865 1.38674 43.726 0.0 0.00832443 0.00832443 0.0509157 0.0 43.2598 0.304525 0.077108 1.05904 45.11274
2-4 0.0740398 0.23646 1.19552 43.5693 0.0 0.00753138 0.00753138 0.0518757 0.0 43.1653 0.248085 0.0751954 0.881911 44.76482
4-1 0.106421 0.317772 1.18933 45.3275 0.0 0.00784196 0.00784196 0.0510511 0.0 43.9204 0.472764 0.838791 0.760904 46.51683
4-2 0.0891806 0.252495 1.09274 45.3788 0.0 0.00837662 0.00837662 0.0515514 0.0 43.9848 0.466005 0.837048 0.747825 46.47154
4-3 0.0710906 0.263071 1.36699 44.3841 0.0 0.00690638 0.00690638 0.0501405 0.0 43.2547 0.306095 0.740094 1.02997 45.75109
4-4 0.0625873 0.254708 1.28237 44.5784 0.0 0.0077515 0.0077515 0.0741448 0.0 43.4774 0.243316 0.754654 0.962391 45.86077
5-1 0.0917853 0.311753 1.19832 45.3563 0.0 0.00798042 0.00798042 0.0494944 0.0 43.94 0.471857 0.851921 0.791829 46.55462
5-2 0.0766157 0.266171 1.37176 45.3915 0.0 0.00904661 0.00904661 0.049045 0.0 44.0487 0.467174 0.787722 1.02634 46.76326
5-3 0.0685365 0.259749 1.06112 44.6766 0.0 0.00798113 0.00798113 0.049517 0.0 43.5142 0.304248 0.775627 0.730249 45.73772
5-4 0.0600922 0.244568 1.04748 44.4429 0.0 0.0071163 0.0071163 0.0499982 0.0 43.3307 0.249713 0.78484 0.740137 45.49038
