algo allgather allreduce comm comp d gram mm nnls reducescatter total_time
10-0 0.42 0.01 0.98 4.13 175.82 0.01 4.11 0.01 0.55 5.11
10-1 0.4 0.11 1.07 4.13 178.85 0.0 3.98 0.15 0.56 5.2
10-2 0.39 0.01 0.96 4.07 178.75 0.0 3.84 0.23 0.56 5.03
10-3 17.67 0 17.67 3.03 281.98 0.58 2.19 0.26 0 20.7
20-0 0.72 0.01 1.74 4.16 187.69 0.0 4.12 0.04 1.01 5.9
20-1 0.64 0.14 1.79 4.61 184.29 0.01 4.37 0.23 1.01 6.4
20-2 0.71 0.03 1.72 4.61 186.46 0.01 4.2 0.4 0.98 6.33
20-3 32.42 0 32.42 4.73 811.03 1.32 2.9 0.51 0 37.15
30-0 0.47 0.0 1.89 4.89 188.25 0.0 4.81 0.08 1.42 6.78
30-1 0.45 0.24 2.15 5.2 194.3 0.02 4.83 0.35 1.46 7.35
30-2 0.53 0.02 1.92 5.9 192.45 0.0 4.85 1.05 1.37 7.82
30-3 51.38 0 51.38 7.33 1682.37 2.58 4.04 0.71 0 58.71
40-0 0.67 0.04 2.45 4.69 170.99 0.01 4.51 0.17 1.74 7.14
40-1 0.81 0.31 2.89 5.12 174.27 0.0 4.67 0.45 1.77 8.01
40-2 0.71 0.01 2.45 5.39 175.5 0.0 4.49 0.9 1.73 7.84
40-3 48.0 0 48.0 11.51 2472.12 5.56 4.52 1.43 0 59.51
50-0 0.62 0.28 3.06 5.91 186.86 0.01 5.79 0.11 2.16 8.97
50-1 0.67 0.66 3.24 6.32 188.82 0.02 5.78 0.52 1.91 9.56
50-2 0.57 0.17 2.66 7.7 193.4 0.01 5.93 1.76 1.92 10.36
50-3 60.02 0 60.02 13.76 3297.91 7.04 5.54 1.18 0 73.78
