runs	algo	iter	totaltime	err	relerr
1	MU	1	4.72	8449.81	0.183426
1	MU	2	6.87	8443.33	0.183285
1	MU	3	8.97	8438.44	0.183179
1	MU	4	11.06	8433.69	0.183076
1	MU	5	13.17	8429.08	0.182976
1	MU	6	15.27	8424.59	0.182878
1	MU	7	17.38	8420.23	0.182784
1	MU	8	19.48	8415.99	0.182692
1	MU	9	21.71	8411.86	0.182602
1	MU	10	24.39	8407.84	0.182515
1	MU	11	26.75	8403.92	0.18243
1	MU	12	29.4	8400.09	0.182347
1	MU	13	31.87	8396.36	0.182266
1	MU	14	34.85	8392.72	0.182187
1	MU	15	38.24	8389.17	0.182109
1	MU	16	41.21	8385.69	0.182034
1	MU	17	43.67	8382.29	0.18196
1	MU	18	46.15	8378.96	0.181888
1	MU	19	48.62	8375.7	0.181817
1	MU	20	51.07	8372.51	0.181748
1	MU	21	53.53	8369.37	0.18168
1	MU	22	55.63	8366.3	0.181613
1	MU	23	57.73	8363.27	0.181547
1	MU	24	59.82	8360.3	0.181483
1	MU	25	61.92	8357.37	0.181419
1	MU	26	64.03	8354.49	0.181357
1	MU	27	66.13	8351.64	0.181295
1	MU	28	68.27	8348.82	0.181234
1	MU	29	70.46	8346.04	0.181173
#1	HALS	1	14.65	7.42E+06	161.167
1	HALS	2	22.01	15824.9	0.343521
1	HALS	3	29.55	7963.56	0.172871
1	HALS	4	37.01	7432.08	0.161333
1	HALS	5	44.33	6926.61	0.150361
1	HALS	6	51.9	6669.65	0.144783
1	HALS	7	59.6	6501.39	0.14113
1	HALS	8	67.03	6382.61	0.138552
1	HALS	9	74.66	6297.27	0.136699
1	HALS	10	82.69	6234.72	0.135341
1	HALS	11	90.8	6186.53	0.134295
1	HALS	12	98.01	6147.48	0.133448
1	HALS	13	104.95	6114.59	0.132734
1	HALS	14	112.15	6086.06	0.132114
1	HALS	15	119.61	6060.87	0.131567
1	HALS	16	126.59	6038.26	0.131077
1	HALS	17	133.7	6017.66	0.130629
1	HALS	18	141.77	5998.74	0.130219
1	HALS	19	148.84	5981.31	0.129841
1	HALS	20	156.31	5965.25	0.129492
1	HALS	21	163.43	5950.46	0.129171
1	HALS	22	170.92	5936.84	0.128875
1	HALS	23	178.29	5924.24	0.128602
1	HALS	24	185.75	5912.54	0.128348
1	HALS	25	193.21	5901.62	0.12811
1	HALS	26	200.49	5891.36	0.127888
1	HALS	27	207.69	5881.7	0.127678
1	HALS	28	215.2	5872.53	0.127479
1	HALS	29	222.21	5863.81	0.12729
#1	BPP	1	10.51	236131	5.12585
1	BPP	2	15.67	38260	0.830535
1	BPP	3	21.17	32175	0.698446
1	BPP	4	26.35	25722.9	0.558385
1	BPP	5	31.78	23890.8	0.518614
1	BPP	6	37.04	21762.6	0.472416
1	BPP	7	42.32	16295.4	0.353736
1	BPP	8	47.25	14377.6	0.312104
1	BPP	9	52.45	13447.4	0.291912
1	BPP	10	58.48	13084.2	0.284028
1	BPP	11	63.42	12251.6	0.265953
1	BPP	12	68.81	11770.6	0.255512
1	BPP	13	74.09	10923.6	0.237126
1	BPP	14	79.49	10321.2	0.22405
1	BPP	15	85.26	10287.2	0.223311
1	BPP	16	90.29	10174.3	0.220861
1	BPP	17	95.47	10169.7	0.220761
1	BPP	18	100.92	9945.2	0.215887
1	BPP	19	106.33	9900.27	0.214912
1	BPP	20	111.87	9673.29	0.209985
1	BPP	21	118.06	9148.71	0.198597
1	BPP	22	123.53	8708.62	0.189044
1	BPP	23	128.76	8416.88	0.182711
1	BPP	24	134.47	8264.62	0.179406
1	BPP	25	139.42	8174.58	0.177451
1	BPP	26	144	8093.12	0.175683
1	BPP	27	149.28	8019.65	0.174088
1	BPP	28	154.49	7960.04	0.172794
1	BPP	29	159.31	7902.87	0.171553
