algo allgather allreduce comm comp d gram mm nnls reducescatter total_time
16-0 0 0 0 0 0 0 0 0 0 0
16-1 0 0 0 0 0 0 0 0 0 0
16-2 0 0 0 0 0 0 0 0 0 0
16-3 0 0 0 0 0 0 0 0 0 0
96-0 0.18 0.0 0.49 54.23 55.6 0.09 53.09 1.05 0.31 54.72
96-1 0.24 0.12 0.64 56.37 57.17 0.04 53.56 2.77 0.28 57.01
96-2 0.23 0.06 0.53 70.61 72.09 0.08 53.04 17.49 0.24 71.14
96-3 7.09 0 7.09 62.12 125.61 6.39 38.16 17.57 0 69.21
384-0 0.11 0.04 0.32 13.29 16.74 0.01 13.0 0.28 0.17 13.61
384-1 0.11 0.18 0.47 13.63 16.5 0.03 13.08 0.52 0.18 14.1
384-2 0.13 0.05 0.4 17.17 20.77 0.02 13.16 3.99 0.22 17.57
384-3 6.99 0 6.99 20.09 98.2 6.32 11.23 2.54 0 27.08
864-0 0.13 0.14 0.57 5.99 9.6 0.01 5.89 0.09 0.3 6.56
864-1 0.13 0.21 0.59 6.09 8.23 0.02 5.79 0.28 0.25 6.68
864-2 0.16 0.07 0.47 7.36 10.13 0.01 5.59 1.76 0.24 7.83
864-3 6.23 0 6.23 12.85 87.61 6.35 5.34 1.16 0 19.08
1536-0 0.09 0.22 2.0 3.15 10.0 0.01 3.1 0.04 1.69 5.15
1536-1 0.12 0.28 3.68 3.59 8.3 0.0 3.31 0.28 3.28 7.27
1536-2 0.14 0.21 1.21 4.52 10.16 0.01 3.44 1.07 0.86 5.73
1536-3 6.02 0 6.02 12.58 87.31 6.16 5.15 1.27 0 18.6

