algo allgather allreduce comm comp d gram mm nnls reducescatter total_time
10-0 0.12 0.0 0.22 9.83 21.72 0.0 9.83 0.0 0.1 10.05
10-1 0.19 0.02 0.29 9.9 22.12 0.01 9.85 0.04 0.08 10.19
10-2 0.13 0.01 0.28 9.9 26.11 0.0 9.82 0.08 0.14 10.18
10-3 2.89 0 2.89 4.06 41.04 0.15 3.78 0.13 0 6.95
20-0 0.32 0.03 0.65 10.57 52.93 0.0 10.57 0.0 0.3 11.22
20-1 0.29 0.16 0.77 10.68 31.31 0.01 10.52 0.15 0.32 11.45
20-2 0.32 0.02 0.67 10.55 48.25 0.02 10.45 0.08 0.33 11.22
20-3 5.04 0 5.04 5.46 46.97 0.62 4.66 0.18 0 10.5
30-0 0.36 0.03 0.71 11.54 62.19 0.0 11.52 0.02 0.32 12.25
30-1 0.32 0.37 1.0 11.68 66.01 0.0 11.36 0.32 0.31 12.68
30-2 0.31 0.04 0.71 11.63 64.54 0.01 11.45 0.17 0.36 12.34
30-3 6.34 0 6.34 7.39 63.16 1.03 6.15 0.21 0 13.73
40-0 0.31 0.1 0.8 10.21 49.13 0.01 10.15 0.05 0.39 11.01
40-1 0.41 0.27 1.05 10.2 41.19 0.0 9.95 0.25 0.37 11.25
40-2 0.37 0.09 0.87 10.27 50.73 0.01 9.96 0.3 0.41 11.14
40-3 7.63 0 7.63 9.05 82.48 1.77 6.95 0.33 0 16.68
50-0 0.43 0.35 1.3 12.5 64.75 0.0 12.45 0.05 0.52 13.8
50-1 0.49 0.67 1.7 12.73 57.99 0.0 12.3 0.43 0.54 14.43
50-2 0.46 0.43 1.39 12.59 62.04 0.01 12.27 0.31 0.5 13.98
50-3 8.54 0 8.54 11.18 96.8 2.43 8.39 0.36 0 19.72
