algo allgather allreduce comm comp d gram mm nnls reducescatter total_time
16-0 0 0 0 0 0 0 0 0 0 0
16-1 0 0 0 0 0 0 0 0 0 0
16-2 0 0 0 0 0 0 0 0 0 0
16-3 0 0 0 0 0 0 0 0 0 0
96-0 0.35 0.03 0.81 104.88 107.3 0.04 104.47 0.37 0.43 105.69
96-1 0.35 0.08 0.94 105.4 107.35 0.04 104.86 0.5 0.51 106.34
96-2 0.33 0.0 0.82 107.78 110.36 0.01 104.81 2.96 0.49 108.6
96-3 2.37 0 2.37 86.97 127.72 2.17 81.87 2.93 0 89.34
384-0 0.37 0.06 0.73 26.77 29.43 0.0 26.71 0.06 0.3 27.5
384-1 0.33 0.09 0.79 27.02 29.29 0.01 26.82 0.19 0.37 27.81
384-2 0.34 0.07 0.71 27.54 30.67 0.01 26.77 0.76 0.3 28.25
384-3 2.01 0 2.01 20.95 44.25 1.96 18.25 0.74 0 22.96
864-0 0.29 0.17 0.67 12.64 14.31 0.01 12.61 0.02 0.21 13.31
864-1 0.27 0.21 0.73 12.77 14.2 0.0 12.59 0.18 0.25 13.5
864-2 0.29 0.18 0.7 13.01 15.45 0.0 12.62 0.39 0.23 13.71
864-3 2.18 0 2.18 10.83 33.53 2.19 8.31 0.33 0 13.01
1536-0 0.31 0.6 1.36 7.06 298.92 0.02 7.04 0.0 0.45 8.42
1536-1 0.33 1.36 2.14 8.02 298.9 0.01 7.13 0.88 0.45 10.16
1536-2 0.41 0.64 1.54 7.24 300.76 0.0 7.07 0.17 0.49 8.78
1536-3 6.13 0 6.13 7.65 1240.3 2.14 5.3 0.21 0 13.78
