alg p K alg-K total_d total_comm total_comp allgather allreduce reducescatter gram krp mttkrp mttv nnls err_compute err_communication
D 64 10 D10 0.11661076 0.00540676 0.111204 0.00139496 0.00204601 0.00159487 0.00209971 0 0.0872898 0.0185491 0.00190403 0.000361922 0.000361922 
D 64 20 D20 0.1554303 0.0188953 0.136535 0.00393479 0.00307971 0.0114913 0.00240008 0 0.101486 0.0286876 0.002328 0.000370815 0.000370815 
D 64 30 D30 0.1971476 0.0192886 0.177859 0.00421433 0.00336463 0.0113888 0.00298524 0 0.131478 0.0387579 0.00281106 0.000443072 0.000443072 
D 64 40 D40 0.237397 0.021458 0.215939 0.00450837 0.00432318 0.0121481 0.00341131 0 0.159126 0.0482982 0.00303128 0.000500813 0.000500813 
D 64 50 D50 0.27826 0.030319 0.247941 0.00205178 0.0165986 0.0113817 0.00366011 0 0.181555 0.0573382 0.00323265 0.00052866 0.00052866 
#N 64 10 N10 1.21008876 0.00620876 1.20388 0.00149045 0.00229273 0.00206053 0.00246182 0.405177 0.792617 0 0.00225044 0.000352253 0.000352253 
#N 64 20 N20 1.7818479 0.0103279 1.77152 0.00391749 0.00297408 0.00309241 0.00252551 0.787064 0.977885 0 0.00256075 0.000359788 0.000359788 
#N 64 30 N30 2.3860451 0.0107651 2.37528 0.00404203 0.0033552 0.00294218 0.00294433 1.15775 1.20998 0 0.00296664 0.000469035 0.000469035 
#N 64 40 N40 2.9706195 0.0118395 2.95878 0.00426667 0.0037906 0.00343046 0.00326677 1.53589 1.41448 0 0.0031536 0.000541567 0.000541567 
#N 64 50 N50 3.5968953 0.0126953 3.5842 0.0019852 0.00712671 0.00329759 0.00384196 1.91154 1.66331 0 0.00345048 0.000561241 0.000561241 
