algo allgather allreduce comm comp d gram mm nnls reducescatter total_time
10-0 0.42 0.01 0.82 2.32 8.5 0.02 2.23 0.07 0.39 3.14
10-1 0.41 0.69 1.41 2.74 8.11 0.0 1.98 0.76 0.31 4.15
10-2 0.39 0.01 0.73 3.03 10.27 0.01 2.11 0.91 0.33 3.76
10-3 16.32 0 16.32 13.68 470.29 0.87 12.09 0.72 0 30.0
20-0 0.54 0.01 1.12 3.9 18.92 0.08 3.71 0.11 0.57 5.02
20-1 0.54 2.37 3.48 6.07 18.23 0.02 3.6 2.45 0.57 9.55
20-2 0.59 0.01 1.14 5.49 25.2 0.01 3.63 1.85 0.54 6.63
20-3 28.71 0 28.71 26.63 1599.77 2.6 22.49 1.54 0 55.34
30-0 0.82 0.02 1.65 5.96 29.13 0.09 5.68 0.19 0.81 7.61
30-1 0.76 4.12 5.66 9.51 28.12 0.01 5.24 4.26 0.78 15.17
30-2 0.82 0.02 1.66 8.05 40.75 0.0 5.31 2.74 0.82 9.71
30-3 41.31 0 41.31 39.93 3184.65 4.35 33.36 2.22 0 81.24
40-0 1.09 0.02 2.12 8.01 39.1 0.25 7.49 0.27 1.01 10.13
40-1 0.96 5.9 7.82 12.89 39.12 0.03 6.72 6.14 0.96 20.71
40-2 0.94 0.02 1.94 10.55 56.37 0.01 6.93 3.61 0.98 12.49
40-3 9.67 0 9.67 63.19 158.15 9.96 50.13 3.1 0 72.86
50-0 1.16 0.17 2.69 9.66 13.44 0.24 8.99 0.43 1.36 12.35
50-1 1.17 0.24 2.82 8.7 11.82 0.0 8.27 0.43 1.41 11.52
50-2 1.24 0.14 2.76 13.08 16.75 0.01 8.39 4.68 1.38 15.84
50-3 12.34 0 12.34 79.12 220.35 12.53 62.71 3.88 0 91.46
