algo allgather allreduce comm comp d gram mm nnls reducescatter total_time
16-0 2.52 0.02 9.23 81.71 94.14 4.32 56.25 21.14 6.69 90.94
16-1 2.53 0.68 9.97 86.56 97.07 0.9 54.5 31.16 6.76 96.53
16-2 2.52 0.0 9.23 395.52 410.96 0.87 54.13 340.52 6.71 404.75
16-3 14.11 0 14.11 349.8 494.43 12.5 99.56 237.74 0 363.91
96-0 2.26 0.02 5.24 33.4 43.29 1.88 27.74 3.78 2.96 38.64
96-1 2.26 0.37 5.62 30.49 36.32 0.12 25.61 4.76 2.99 36.11
96-2 2.27 0.01 5.28 73.46 84.48 0.18 25.68 47.6 3.0 78.74
96-3 14.05 0 14.05 117.27 248.14 11.97 69.68 35.62 0 131.32
384-0 1.75 0.05 3.7 16.16 22.1 0.65 14.41 1.1 1.9 19.86
384-1 1.62 0.24 3.7 14.37 18.61 0.02 13.44 0.91 1.84 18.07
384-2 1.69 0.04 3.61 24.53 30.48 0.02 13.5 11.01 1.88 28.14
384-3 13.11 0 13.11 83.27 213.47 12.5 62.02 8.75 0 96.38
864-0 1.16 0.17 2.69 9.66 13.44 0.24 8.99 0.43 1.36 12.35
864-1 1.17 0.24 2.82 8.7 11.82 0.0 8.27 0.43 1.41 11.52
864-2 1.24 0.14 2.76 13.08 16.75 0.01 8.39 4.68 1.38 15.84
864-3 12.34 0 12.34 79.12 220.35 12.53 62.71 3.88 0 91.46
1536-0 0.93 0.76 9.61 6.77 40.04 0.17 6.35 0.25 7.92 16.38
1536-1 0.93 6.26 14.95 11.79 38.36 0.03 6.04 5.72 7.76 26.74
1536-2 0.99 0.64 9.12 9.67 51.2 0.01 6.82 2.84 7.49 18.79
1536-3 45.68 0 45.68 79.64 361.38 13.46 63.72 2.46 0 125.32
