algo allgather allreduce comm comp d gram mm nnls reducescatter total_time
10-0 0.16 0.0 0.27 0.07 3.67 0.0 0.07 0.0 0.11 0.34
10-1 0.2 0.12 0.4 0.24 1.24 0.0 0.1 0.14 0.08 0.64
10-2 0.17 0.02 0.3 0.25 2.3 0.01 0.11 0.13 0.11 0.55
10-3 4.64 0 4.64 0.88 95.63 0.24 0.54 0.1 0 5.52
20-0 0.27 0.0 0.68 0.29 2.59 0.0 0.27 0.02 0.41 0.97
20-1 0.2 0.16 0.78 0.48 2.61 0.0 0.3 0.18 0.42 1.26
20-2 0.29 0.0 0.71 0.38 2.85 0.0 0.22 0.16 0.42 1.09
20-3 10.86 0 10.86 1.9 309.57 0.46 1.26 0.18 0 12.76
30-0 0.43 0.03 1.09 0.29 4.58 0.0 0.28 0.01 0.63 1.38
30-1 0.37 0.53 1.54 0.9 4.69 0.0 0.36 0.54 0.64 2.44
30-2 0.45 0.01 1.17 0.5 5.11 0.0 0.31 0.19 0.71 1.67
30-3 16.16 0 16.16 2.98 585.12 0.87 1.9 0.21 0 19.14
40-0 0.57 0.04 1.41 0.42 5.72 0.0 0.39 0.03 0.8 1.83
40-1 0.53 0.76 2.09 1.28 5.75 0.0 0.51 0.77 0.8 3.37
40-2 0.51 0.06 1.34 0.75 6.09 0.0 0.42 0.33 0.77 2.09
40-3 21.1 0 21.1 4.46 887.18 1.77 2.34 0.35 0 25.56
50-0 0.83 0.41 2.26 0.7 8.27 0.02 0.67 0.01 1.02 2.96
50-1 0.84 1.57 3.53 1.67 8.44 0.02 0.54 1.11 1.12 5.2
50-2 0.83 0.47 2.32 0.92 8.95 0.0 0.57 0.35 1.02 3.24
50-3 28.05 0 28.05 5.36 1211.34 2.23 2.72 0.41 0 33.41
