algo allgather allreduce comm comp d gram mm nnls reducescatter total_time
16-0 0.45 0.0 1.65 62.68 66.23 0.15 60.57 1.96 1.2 64.33
16-1 0.43 0.11 1.71 66.32 68.34 0.22 61.52 4.58 1.17 68.03
16-2 0.46 0.01 1.6 81.01 84.37 0.18 60.72 20.11 1.13 82.61
16-3 2.39 0 2.39 43.82 65.54 2.08 21.96 19.78 0 46.21
96-0 0.35 0.08 0.87 6.29 7.72 0.02 5.97 0.3 0.44 7.16
96-1 0.37 0.07 0.94 6.52 7.82 0.04 5.91 0.57 0.5 7.46
96-2 0.37 0.03 0.97 9.23 10.52 0.03 6.01 3.19 0.57 10.2
96-3 2.12 0 2.12 14.45 36.42 2.07 9.2 3.18 0 16.57
384-0 0.33 0.02 0.77 1.4 2.67 0.0 1.31 0.09 0.42 2.17
384-1 0.32 0.12 0.77 1.52 2.52 0.01 1.3 0.21 0.33 2.29
384-2 0.35 0.05 0.72 1.95 3.25 0.0 1.18 0.77 0.32 2.67
384-3 1.98 0 1.98 8.73 34.69 2.18 5.71 0.84 0 10.71
864-0 0.76 0.58 2.35 0.55 8.96 0.01 0.53 0.01 1.01 2.9
864-1 0.61 1.38 3.0 1.6 7.74 0.0 0.53 1.07 1.01 4.6
864-2 0.78 0.47 2.17 0.9 9.04 0.0 0.52 0.38 0.92 3.07
864-3 2.62 0 2.62 5.19 47.6 2.07 2.74 0.38 0 7.81
1536-0 0.3 0.18 0.94 0.56 2.37 0.01 0.54 0.01 0.46 1.5
1536-1 0.26 0.39 1.01 0.57 1.7 0.02 0.39 0.16 0.36 1.58
1536-2 0.26 0.22 0.92 0.47 2.32 0.0 0.32 0.15 0.44 1.39
1536-3 2.27 0 2.27 3.6 29.45 2.11 1.27 0.22 0 5.87
