alg-p allgather allreduce comm comp d err_communication err_compute gram krp mttkrp multittv nnls reducescatter total_time
0-1024 0.178643 0.579735 1.7148700000000001 2.28937 0.0 0.0255103 0.0255103 0.212104 0.0 1.85893 0.0364142 0.07943589999999999 0.9076850000000001 4.00424
0-128 0.149627 0.21985300000000002 0.833608 4.7474099999999995 0.0 0.0067485 0.0067485 0.0527759 0.0 4.54689 0.11043599999999999 0.017375599999999998 0.46207600000000004 5.581017999999999
0-16 0.121341 0.318152 0.7634489999999999 28.230999999999998 0.0 0.00558402 0.00558402 0.0498287 0.0 27.4853 0.588589 0.07480830000000001 0.323177 28.994449
0-256 0.166318 0.266696 0.953728 3.19697 0.0 0.00684901 0.00684901 0.0548761 0.0 3.04032 0.06823810000000001 0.0140184 0.517666 4.150698
0-32 0.078657 0.257931 0.943306 14.3343 0.0 0.00610776 0.00610776 0.048503500000000005 0.0 13.8939 0.324077 0.042968599999999996 0.6053569999999999 15.277606
0-512 0.156327 0.30644099999999996 0.869492 2.44551 0.0 0.0074971000000000005 0.0074971000000000005 0.056614 0.0 2.29777 0.0584257 0.012494700000000001 0.403033 3.3150020000000002
0-64 0.14838099999999999 0.21767199999999998 0.667491 8.12765 0.0 0.00698854 0.00698854 0.050857 0.0 7.84368 0.18446099999999999 0.026507599999999996 0.299757 8.795141
1-1024 0.168987 0.527237 1.50603 6.31424 0.0 0.012976300000000001 0.012976300000000001 0.186528 0.0 1.8668099999999999 0.0364655 4.16735 0.795832 7.82027
1-128 0.147807 0.25708200000000003 0.780709 5.316269999999999 0.0 0.00737381 0.00737381 0.0540269 0.0 4.66832 0.11030899999999999 0.46307200000000004 0.373761 6.096978999999999
1-16 0.09701950000000001 0.212436 0.6199560000000001 28.3845 0.0 0.00568441 0.00568441 0.050096800000000004 0.0 27.4568 0.5882310000000001 0.260775 0.309706 29.004455999999998
1-256 0.175006 0.298774 1.0322799999999999 3.91034 0.0 0.00790855 0.00790855 0.055399000000000004 0.0 3.02358 0.0678567 0.741661 0.554582 4.94262
1-32 0.14593 0.26794 0.704601 14.9338 0.0 0.00589078 0.00589078 0.049904199999999996 0.0 14.2505 0.32389 0.284564 0.289544 15.638401
1-512 0.161498 0.329781 1.0540200000000002 3.46815 0.0 0.00792172 0.00792172 0.0614674 0.0 2.27925 0.05833769999999999 1.04631 0.558232 4.52217
1-64 0.149669 0.24257800000000002 0.9178569999999999 8.265369999999999 0.0 0.00709638 0.00709638 0.0527929 0.0 7.638660000000001 0.185324 0.366342 0.5240100000000001 9.183226999999999
2-1024 0.195491 0.583677 1.69215 2.3576599999999996 0.0 0.020630799999999998 0.020630799999999998 0.217567 0.0 1.83233 0.036567800000000004 0.168428 0.8252700000000001 4.04981
2-128 0.178233 0.22866 0.6891520000000001 4.96692 0.0 0.00697423 0.00697423 0.05275 0.0 4.6668 0.11037000000000001 0.11706099999999998 0.279964 5.656072
2-16 0.153775 0.316831 0.812732 28.6082 0.0 0.00563409 0.00563409 0.0481129 0.0 27.4839 0.589796 0.453787 0.341296 29.420932
2-256 0.18474300000000002 0.29931599999999997 0.936599 3.3323199999999997 0.0 0.00697365 0.00697365 0.054900599999999994 0.0 3.0975900000000003 0.0689643 0.0912228 0.449542 4.2689189999999995
2-32 0.0975764 0.316931 1.1547399999999999 15.1204 0.0 0.00594855 0.00594855 0.0628451 0.0 14.4416 0.32775 0.262362 0.738835 16.27514
2-512 0.169406 0.33011599999999997 0.9015129999999999 2.5081900000000004 0.0 0.00757905 0.00757905 0.057877 0.0 2.28819 0.0595601 0.0810944 0.397791 3.4097030000000004
2-64 0.184645 0.266009 0.98488 8.0646 0.0 0.00627381 0.00627381 0.050853699999999995 0.0 7.63817 0.18578 0.16830499999999998 0.532523 9.04948
4-1024 0.185591 0.48063500000000003 1.47161 6.82182 0.0 0.00971372 0.00971372 0.168173 0.0 1.87125 0.0371734 4.69679 0.797268 8.29343
4-128 0.135078 0.224677 0.775716 5.3933599999999995 0.0 0.00638909 0.00638909 0.0500901 0.0 4.5589699999999995 0.11139600000000001 0.653404 0.41383500000000006 6.169076
4-16 0.114852 0.226708 0.640955 29.0297 0.0 0.00572415 0.00572415 0.0482038 0.0 27.4659 0.5886819999999999 0.897366 0.298582 29.670655
