alg-p allgather allreduce comm comp d err_communication err_compute gram krp mttkrp multittv nnls reducescatter total_time
0-1024 0.114934 0.376603 1.0848 2.01688 0.0 0.012755500000000001 0.012755500000000001 0.06567619999999999 0.0 1.86275 0.036495400000000004 0.0192044 0.587122 3.10168
0-128 0.155882 0.23642 0.8132739999999999 4.821359999999999 0.0 0.00813685 0.00813685 0.0547381 0.0 4.61909 0.109981 0.015179399999999997 0.41835100000000003 5.634633999999999
0-16 0.106579 0.215655 0.534868 28.2257 0.0 0.00607128 0.00607128 0.0514245 0.0 27.499000000000002 0.591332 0.055086699999999995 0.21133000000000002 28.760568
0-256 0.181801 0.286629 1.00088 3.26127 0.0 0.00919321 0.00919321 0.0574303 0.0 3.09533 0.06824569999999999 0.0150679 0.528158 4.26215
0-32 0.07457960000000001 0.299286 0.786027 14.5318 0.0 0.00787859 0.00787859 0.053621 0.0 14.0886 0.325176 0.0340964 0.40987700000000005 15.317827000000001
0-512 0.163106 0.34565999999999997 1.08495 2.41601 0.0 0.0106934 0.0106934 0.06298619999999999 0.0 2.24858 0.0582399 0.0175774 0.5709489999999999 3.50096
0-64 0.171006 0.22171100000000002 0.894108 7.95413 0.0 0.00748894 0.00748894 0.053027599999999994 0.0 7.67088 0.184859 0.0217586 0.49921499999999996 8.848238
1-1024 0.09710039999999999 0.359579 1.1727 3.03628 0.0 0.011489 0.011489 0.0628662 0.0 1.86654 0.036462699999999994 1.04321 0.710831 4.20898
1-128 0.15823900000000002 0.237287 0.906734 5.32964 0.0 0.007776100000000001 0.007776100000000001 0.05607 0.0 4.53299 0.111079 0.60716 0.5086350000000001 6.2363740000000005
1-16 0.150334 0.287074 0.75283 28.4429 0.0 0.00667347 0.00667347 0.055517 0.0 27.4674 0.592458 0.295365 0.314397 29.19573
1-256 0.178403 0.272744 0.9198280000000001 3.78871 0.0 0.00810723 0.00810723 0.056159400000000005 0.0 3.08652 0.0680548 0.556916 0.46589200000000003 4.708538
1-32 0.10037599999999999 0.30616 0.718385 14.9841 0.0 0.00727115 0.00727115 0.0544581 0.0 14.2242 0.323182 0.355209 0.31058800000000003 15.702485
1-512 0.170261 0.34348 0.951407 3.7779199999999995 0.0 0.012438600000000001 0.012438600000000001 0.0737905 0.0 2.2728599999999997 0.05852430000000001 1.33761 0.430414 4.729327
