alg-p allgather allreduce comm comp d err_communication err_compute gram krp mttkrp multittv nnls reducescatter total_time
0-1024 0.0546025 0.353633 1.18093 1.7617900000000002 0.0 0.0102057 0.0102057 0.07091900000000001 0.0 1.60481 0.036594999999999996 0.0183258 0.7646569999999999 2.9427200000000004
0-128 0.169319 0.22991799999999998 0.8261639999999999 3.165 0.0 0.010318299999999999 0.010318299999999999 0.0556881 0.0 3.00176 0.0701351 0.014816899999999997 0.42333699999999996 3.991164
0-16 0.126432 0.259211 0.9601959999999999 14.5146 0.0 0.00620526 0.00620526 0.048085199999999995 0.0 14.2037 0.21323499999999998 0.0262783 0.573591 15.474796
0-256 0.082276 0.31858400000000003 0.854992 2.38617 0.0 0.010491799999999999 0.010491799999999999 0.06708789999999999 0.0 2.20344 0.061684699999999995 0.0208123 0.448097 3.241162
0-32 0.139048 0.16938499999999998 0.797992 7.82452 0.0 0.00708012 0.00708012 0.0504082 0.0 7.5336 0.197522 0.0198541 0.48803900000000006 8.622512
0-512 0.051247900000000006 0.32491 1.0349700000000002 1.97333 0.0 0.00843579 0.00843579 0.0637112 0.0 1.8126200000000001 0.0579721 0.012535700000000002 0.654416 3.0083
0-64 0.145175 0.18848 0.629894 4.78228 0.0 0.00653792 0.00653792 0.05250850000000001 0.0 4.57824 0.115827 0.0145441 0.294584 5.412174
1-1024 0.0634219 0.37230599999999997 1.05179 3.42067 0.0 0.0115194 0.0115194 0.0720862 0.0 1.58503 0.036568300000000005 1.6944400000000002 0.608739 4.47246
1-128 0.15884 0.246881 0.709445 3.7205699999999995 0.0 0.00866196 0.00866196 0.0539819 0.0 3.06316 0.0699837 0.512916 0.301584 4.430014999999999
1-16 0.145673 0.254917 0.775167 14.9345 0.0 0.0061753 0.0061753 0.0500954 0.0 14.4127 0.211094 0.237539 0.373695 15.709667
1-256 0.0488302 0.306179 0.730159 2.92267 0.0 0.00806447 0.00806447 0.0552156 0.0 2.27192 0.06198150000000001 0.513224 0.372886 3.652829
1-32 0.153687 0.190369 0.7072350000000001 8.20468 0.0 0.00619524 0.00619524 0.0497466 0.0 7.65216 0.198424 0.28265999999999997 0.361969 8.911915
1-512 0.07800130000000001 0.35634 1.00593 3.3382400000000003 0.0 0.0115405 0.0115405 0.0714694 0.0 1.8115700000000001 0.05790019999999999 1.36163 0.562894 4.34417
1-64 0.142881 0.1723 0.722625 5.100630000000001 0.0 0.00679239 0.00679239 0.0514308 0.0 4.5097 0.11510799999999999 0.405569 0.405493 5.8232550000000005
2-1024 0.0715798 0.372908 1.18703 1.8355400000000002 0.0 0.0117038 0.0117038 0.0744738 0.0 1.6100700000000001 0.036648 0.0783581 0.732417 3.02257
2-128 0.148824 0.21380700000000002 0.672795 3.22494 0.0 0.00870798 0.00870798 0.055836500000000004 0.0 3.00088 0.0712693 0.0751549 0.308185 3.897735
2-16 0.152749 0.238781 0.822527 14.7271 0.0 0.00622055 0.00622055 0.0479124 0.0 14.265 0.213112 0.178797 0.429962 15.549627000000001
2-256 0.0764719 0.33571799999999996 0.8600190000000001 2.44698 0.0 0.010171600000000001 0.010171600000000001 0.07253689999999999 0.0 2.20283 0.063179 0.07722430000000001 0.43968 3.3069990000000002
2-32 0.12159600000000001 0.183371 0.5425979999999999 8.13817 0.0 0.00640599 0.00640599 0.0477838 0.0 7.7587399999999995 0.198068 0.112152 0.23626599999999998 8.680768
2-512 0.055635699999999996 0.316222 1.00409 2.05445 0.0 0.00905976 0.00905976 0.0643059 0.0 1.83369 0.0590375 0.0713359 0.627677 3.05854
2-64 0.152373 0.259023 0.751371 4.849019999999999 0.0 0.00716794 0.00716794 0.0514467 0.0 4.57677 0.11406600000000001 0.0876783 0.338302 5.600390999999999
4-1024 0.0657469 0.363195 1.08408 3.8309800000000003 0.0 0.0126444 0.0126444 0.079939 0.0 1.60735 0.0369226 2.07202 0.643195 4.91506
4-128 0.15218900000000002 0.237044 0.739412 3.8740699999999997 0.0 0.00757613 0.00757613 0.05754630000000001 0.0 3.05265 0.0705028 0.673093 0.347623 4.613481999999999
4-16 0.0957378 0.188773 0.513019 15.2723 0.0 0.00627209 0.00627209 0.0477707 0.0 14.4324 0.213004 0.557062 0.22765 15.785319
4-256 0.054573300000000005 0.301788 0.792357 3.04544 0.0 0.0101267 0.0101267 0.0557352 0.0 2.27149 0.062874 0.632899 0.43352399999999996 3.837797
4-32 0.16004100000000002 0.163366 0.805552 8.284889999999999 0.0 0.00762658 0.00762658 0.0489976 0.0 7.52337 0.19858199999999998 0.49077200000000004 0.480984 9.090442
4-512 0.07518789999999999 0.357671 0.991693 3.86869 0.0 0.0110302 0.0110302 0.07570139999999999 0.0 1.8434700000000002 0.0589033 1.857 0.550864 4.860383
4-64 0.143594 0.22086799999999998 0.806828 5.25384 0.0 0.00688082 0.00688082 0.049959699999999996 0.0 4.51286 0.115526 0.556766 0.440655 6.060668000000001
5-1024 0.164959 0.664872 1.7324 14.4191 0.0 0.011296500000000001 0.011296500000000001 0.133273 0.0 2.64224 0.0475887 11.5217 0.894492 16.1515
5-128 0.476732 0.444136 1.40002 10.5865 0.0 0.00740911 0.00740911 0.08812130000000001 0.0 4.54801 0.0934942 5.81759 0.476836 11.986519999999999
5-16 0.432062 0.368601 1.48492 33.4461 0.0 0.00602965 0.00602965 0.07811280000000001 0.0 19.8212 0.287775 13.2099 0.683245 34.931020000000004
5-256 0.201302 0.647331 1.463 12.7367 0.0 0.0102222 0.0102222 0.121148 0.0 3.5524400000000003 0.08460319999999999 8.90938 0.606561 14.1997
5-32 0.444172 0.305614 1.355 19.6868 0.0 0.00625886 0.00625886 0.0781225 0.0 10.8379 0.274995 8.448089999999999 0.6039680000000001 21.041800000000002
5-512 0.133939 0.535283 1.52203 10.7134 0.0 0.00803008 0.00803008 0.107798 0.0 2.95275 0.0798836 7.52014 0.848201 12.235430000000001
5-64 0.52874 0.41869300000000004 1.4318899999999999 13.1887 0.0 0.0072288 0.0072288 0.08201169999999999 0.0 6.76832 0.158687 6.14101 0.482612 14.62059
6-1024 0.0608558 0.369029 1.15042 1.76616 0.0 0.010781 0.010781 0.0713156 0.0 1.60531 0.036532199999999994 0.0211122 0.712358 2.9165799999999997
6-128 0.142199 0.21080500000000002 0.748063 3.15224 0.0 0.00912509 0.00912509 0.0529097 0.0 2.99674 0.0699785 0.0108089 0.392825 3.900303
