alg-p allgather allreduce comm comp d err_communication err_compute gram krp mttkrp multittv nnls reducescatter total_time
0-1024 0.131773 0.47383400000000003 1.58015 3.45715 0.0 0.012482799999999999 0.012482799999999999 0.44562700000000005 0.0 2.6000900000000002 0.025952299999999998 0.273246 0.9597469999999999 5.0373
0-128 0.136126 0.200379 0.614734 3.19328 0.0 0.0071691 0.0071691 0.0509278 0.0 3.04182 0.0701591 0.012228 0.276505 3.808014
0-16 0.160775 0.264875 0.8779100000000001 14.4298 0.0 0.00557429 0.00557429 0.043744 0.0 14.1839 0.150557 0.0336005 0.45141099999999995 15.30771
0-256 0.09468700000000001 0.30390300000000003 0.755781 2.40374 0.0 0.00702444 0.00702444 0.0533816 0.0 2.28019 0.04378630000000001 0.00889728 0.355102 3.159521
0-32 0.13145199999999999 0.183818 0.633 8.63058 0.0 0.00607445 0.00607445 0.0456577 0.0 8.41868 0.126985 0.0216379 0.31653400000000004 9.263580000000001
0-512 0.122155 0.555625 1.4547 2.25407 0.0 0.0340952 0.0340952 0.17968399999999998 0.0 1.84205 0.0379215 0.11193299999999999 0.756355 3.7087700000000003
0-64 0.127191 0.200667 0.7081729999999999 5.58162 0.0 0.00623216 0.00623216 0.0485655 0.0 5.41673 0.0842247 0.014566399999999998 0.37866 6.2897929999999995
1-1024 0.105689 0.47993800000000003 1.8126799999999998 9.886289999999999 0.0 0.014758199999999999 0.014758199999999999 0.428255 0.0 2.6049900000000004 0.0257858 6.75444 1.21436 11.69897
1-128 0.151694 0.218509 0.678913 3.5850400000000002 0.0 0.00717631 0.00717631 0.05162769999999999 0.0 3.0525599999999997 0.0699111 0.392931 0.30688499999999996 4.263953
1-16 0.156743 0.233471 0.707299 14.7462 0.0 0.00562721 0.00562721 0.0464761 0.0 14.3037 0.15134 0.226559 0.316225 15.453499
1-256 0.100757 0.30449 0.8040189999999999 2.83035 0.0 0.00760284 0.00760284 0.0536399 0.0 2.2517099999999997 0.0439139 0.4631 0.39657600000000004 3.634369
1-32 0.143182 0.18971500000000002 0.779826 8.826839999999999 0.0 0.00680744 0.00680744 0.0482931 0.0 8.30771 0.127023 0.324979 0.4456 9.606665999999999
1-512 0.12299600000000001 0.495787 1.44285 5.4838 0.0 0.012237999999999999 0.012237999999999999 0.157211 0.0 1.84863 0.038106400000000006 3.3917300000000004 0.80397 6.9266499999999995
1-64 0.184141 0.226167 0.760138 6.07827 0.0 0.00634316 0.00634316 0.050638499999999996 0.0 5.46945 0.08389400000000001 0.45550799999999997 0.347735 6.838407999999999
2-1024 0.140702 0.5644399999999999 1.34362 3.12383 0.0 0.032744 0.032744 0.195721 0.0 2.61167 0.0263483 0.19976 0.620315 4.4674499999999995
2-128 0.128348 0.170876 0.589907 3.26185 0.0 0.00681594 0.00681594 0.051114599999999996 0.0 3.03945 0.070882 0.0826484 0.288865 3.851757
2-16 0.21255900000000003 0.29775100000000004 0.920898 14.7183 0.0 0.00550927 0.00550927 0.044805199999999996 0.0 14.2995 0.151203 0.204742 0.40966499999999995 15.639197999999999
2-256 0.100826 0.31157399999999996 0.809812 2.44792 0.0 0.00760332 0.00760332 0.05348440000000001 0.0 2.2516 0.0438365 0.08102369999999999 0.395257 3.257732
2-32 0.150103 0.204414 0.692209 8.69865 0.0 0.0059355 0.0059355 0.0459097 0.0 8.38813 0.127608 0.119572 0.336524 9.390859
2-512 0.126949 0.501556 1.2824200000000001 2.38841 0.0 0.011302600000000001 0.011302600000000001 0.25116 0.0 1.83758 0.0376682 0.21740900000000002 0.6407149999999999 3.67083
2-64 0.170606 0.214346 0.745304 5.70105 0.0 0.00603295 0.00603295 0.0481598 0.0 5.45857 0.0845525 0.09232660000000001 0.35875300000000004 6.446354
4-1024 0.0763896 0.40926399999999996 1.21384 6.42807 0.0 0.0102858 0.0102858 0.0949485 0.0 2.6166 0.0267313 3.65136 0.719264 7.64191
4-128 0.153578 0.224541 0.795568 3.6714300000000004 0.0 0.00624473 0.00624473 0.051483400000000006 0.0 3.00841 0.071668 0.522606 0.415655 4.466998
4-16 0.187876 0.284532 0.892717 14.9662 0.0 0.00554952 0.00554952 0.045329400000000006 0.0 14.2386 0.15247 0.511721 0.419455 15.858917
4-256 0.0919663 0.306744 0.9576379999999999 3.01192 0.0 0.0073154 0.0073154 0.053784900000000004 0.0 2.30091 0.044650999999999996 0.594949 0.556848 3.9695579999999997
4-32 0.144123 0.20988800000000002 0.780699 9.01757 0.0 0.00716982 0.00716982 0.0461379 0.0 8.30765 0.12861 0.516047 0.425387 9.798269
4-512 0.0746129 0.43525699999999995 1.20649 6.7107399999999995 0.0 0.0106036 0.0106036 0.12695499999999998 0.0 1.85222 0.0387709 4.64842 0.686431 7.91723
4-64 0.20915100000000003 0.216085 0.786989 6.24984 0.0 0.00613291 0.00613291 0.0494265 0.0 5.47422 0.0850453 0.62253 0.359716 7.036829
5-1024 0.18323499999999998 0.695182 1.7438 6.864489999999999 0.0 0.0114291 0.0114291 0.162968 0.0 3.1169 0.0297711 3.4681599999999997 0.8549530000000001 8.608289999999998
5-128 0.42449499999999996 0.408802 1.30346 4.81917 0.0 0.00616374 0.00616374 0.0771245 0.0 3.8053 0.0820468 0.8251629999999999 0.468337 6.12263
5-16 0.304448 0.519265 1.33054 18.7168 0.0 0.00546819 0.00546819 0.0658123 0.0 17.0616 0.175345 1.38176 0.505969 20.04734
5-256 0.255469 0.501384 1.21654 3.9308400000000003 0.0 0.00632537 0.00632537 0.0809424 0.0 2.92581 0.05071269999999999 0.844492 0.45733 5.14738
5-32 0.32311799999999996 0.363782 1.16161 11.1916 0.0 0.00629118 0.00629118 0.0655895 0.0 9.95588 0.149028 0.9896719999999999 0.4735 12.353209999999999
5-512 0.23264400000000002 0.690743 1.75121 7.667389999999999 0.0 0.00839112 0.00839112 0.24948800000000002 0.0 2.38896 0.0438713 4.91146 0.8192280000000001 9.4186
5-64 0.40992399999999996 0.359245 1.10818 7.661519999999999 0.0 0.00642298 0.00642298 0.0715967 0.0 6.56612 0.0974548 0.8953840000000001 0.337431 8.7697
6-1024 0.08474010000000001 0.44068500000000005 1.1965 2.8597599999999996 0.0 0.0121029 0.0121029 0.107241 0.0 2.63879 0.0260916 0.0456598 0.657027 4.05626
6-128 0.13131800000000002 0.174477 0.7015279999999999 3.14742 0.0 0.00637842 0.00637842 0.0513492 0.0 2.9991 0.0700949 0.00960946 0.393932 3.848948
6-16 0.127823 0.232902 0.751563 14.4028 0.0 0.00563537 0.00563537 0.0449653 0.0 14.1746 0.153218 0.0119178 0.389962 15.154363
6-256 0.100746 0.307842 0.8196950000000001 2.38065 0.0 0.00727794 0.00727794 0.0530659 0.0 2.25617 0.04412990000000001 0.0095633 0.408842 3.2003450000000004
6-32 0.141585 0.19632 0.691975 8.57461 0.0 0.00713243 0.00713243 0.0468204 0.0 8.37284 0.125737 0.0101932 0.352749 9.266585
6-512 0.0923886 0.410182 1.17629 2.03817 0.0 0.0112831 0.0112831 0.0902048 0.0 1.83198 0.038170300000000004 0.0343819 0.660959 3.21446
6-64 0.147457 0.17714000000000002 0.693292 5.57086 0.0 0.00636546 0.00636546 0.0492351 0.0 5.40824 0.08417569999999999 0.010329000000000001 0.366613 6.264151999999999
