alg-p allgather allreduce comm comp d err_communication err_compute gram krp mttkrp multittv nnls reducescatter total_time
0-1024 0.0511145 0.283833 0.69418 15.7626 0.0 0.00847019 0.00847019 0.063432 5.04287 10.6193 0.0 0.0129049 0.354032 16.456780000000002
0-128 0.10431300000000002 0.145896 0.42963599999999996 83.7758 0.0 0.00686919 0.00686919 0.0555183 24.063000000000002 59.626000000000005 0.0 0.0129518 0.17711 84.205436
# 0-16 0.110989 0.236854 0.707579 921.4019999999999 0.0 0.00618884 0.00618884 0.0471299 148.566 772.742 0.0 0.0242419 0.358846 922.1095789999999
0-256 0.040329199999999996 0.199519 0.506706 71.6026 0.0 0.00731898 0.00731898 0.055747500000000005 16.1495 55.3683 0.0 0.00946334 0.26467199999999996 72.10930599999999
0-32 0.140573 0.12429000000000001 0.43135500000000004 299.678 0.0 0.00666949 0.00666949 0.0477259 82.0303 217.56 0.0 0.0174572 0.165115 300.109355
0-512 0.04689190000000001 0.23793000000000003 0.575735 26.5615 0.0 0.008272 0.008272 0.0581058 8.95947 17.5137 0.0 0.00917851 0.288171 27.137235
0-64 0.058785500000000004 0.10781500000000001 0.331331 151.661 0.0 0.00685123 0.00685123 0.0512475 39.4443 112.133 0.0 0.0132662 0.162613 151.992331
1-1024 0.054539599999999994 0.284316 0.682183 16.384 0.0 0.00913044 0.00913044 0.061948300000000005 5.04525 10.4197 0.0 0.8325879999999999 0.339504 17.066183
1-128 0.118684 0.151453 0.452029 83.8696 0.0 0.00728779 0.00728779 0.055170000000000004 23.735 59.5891 0.0 0.471203 0.17963099999999999 84.321629
# 1-16 0.0383794 0.21634 0.49996599999999997 925.16 0.0 0.00612896 0.00612896 0.048391699999999996 146.376 778.4810000000001 0.0 0.231554 0.244373 925.6599659999999
1-256 0.039080000000000004 0.202096 0.515634 72.5555 0.0 0.00716593 0.00716593 0.0561802 16.2704 55.7088 0.0 0.5006550000000001 0.272079 73.071134
1-32 0.11684800000000001 0.12698900000000002 0.425225 301.57 0.0 0.00652451 0.00652451 0.048885000000000005 83.5533 217.62599999999998 0.0 0.319404 0.18001 301.995225
1-512 0.051331100000000005 0.24615700000000001 0.596394 27.4615 0.0 0.00858424 0.00858424 0.06578660000000001 9.0536 17.4496 0.0 0.868008 0.294976 28.057894
1-64 0.07647739999999999 0.11606500000000002 0.445669 154.96 0.0 0.00680886 0.00680886 0.0513415 42.565 111.946 0.0 0.379231 0.251327 155.40566900000002
2-1024 0.050872 0.292144 0.703044 15.5948 0.0 0.00846063 0.00846063 0.061979700000000006 5.092969999999999 10.3293 0.0 0.08673739999999999 0.355931 16.297843999999998
2-128 0.112982 0.17727300000000001 0.46878000000000003 84.1947 0.0 0.00701968 0.00701968 0.0545445 24.1546 59.88 0.0 0.0868565 0.176369 84.66347999999999
# 2-16 0.152481 0.22657600000000003 0.745154 923.181 0.0 0.00578858 0.00578858 0.046956599999999994 149.213 773.686 0.0 0.211152 0.365241 923.926154
2-256 0.0460374 0.22724 0.547421 71.7259 0.0 0.00731648 0.00731648 0.0558506 16.1443 55.4211 0.0 0.0854015 0.271937 72.273321
2-32 0.10346300000000001 0.155664 0.443829 301.371 0.0 0.00629109 0.00629109 0.0476195 82.9041 218.263 0.0 0.134465 0.183381 301.814829
2-512 0.0516217 0.25028 0.597383 26.7035 0.0 0.00822493 0.00822493 0.060087800000000004 8.95186 17.5804 0.0 0.0890912 0.292441 27.300883
2-64 0.09347180000000001 0.123004 0.397239 153.375 0.0 0.00686239 0.00686239 0.0521121 40.5529 112.652 0.0 0.0996113 0.17894100000000002 153.772239
4-1024 0.0520007 0.285636 0.698517 16.8591 0.0 0.0087068 0.0087068 0.0620932 5.09079 10.6646 0.0 1.01744 0.356564 17.557617
4-128 0.0806953 0.136471 0.404654 84.4883 0.0 0.00657022 0.00657022 0.054562599999999996 24.1703 59.6252 0.0 0.62028 0.18504 84.89295399999999
# 4-16 0.0913598 0.224593 0.684702 921.762 0.0 0.00584031 0.00584031 0.0460718 147.39600000000002 773.79 0.0 0.508034 0.36789 922.446702
4-256 0.040555900000000006 0.201651 0.514185 72.6597 0.0 0.00763184 0.00763184 0.0556894 16.173 55.7668 0.0 0.64442 0.26973600000000003 73.173885
4-32 0.043519800000000004 0.11358399999999999 0.244894 286.253 0.0 0.00634699 0.00634699 0.0475065 67.295 218.38099999999997 0.0 0.5084850000000001 0.086425 286.497894
4-512 0.0517558 0.242049 0.593857 27.3055 0.0 0.00853697 0.00853697 0.05965499999999999 8.91225 17.395 0.0 0.915111 0.29637399999999997 27.899357
