runs	algo	iter	totaltime	err	relerr
1	MU	1	11.61	48206.9	0.978794
1	MU	2	23.33	47902.3	0.972609
1	MU	3	35.24	47641.1	0.967305
1	MU	4	46.99	47108.6	0.956493
1	MU	5	58.59	46354.9	0.94119
1	MU	6	70.19	45606.3	0.925992
1	MU	7	81.79	45017.8	0.914042
1	MU	8	93.39	44561.2	0.904771
1	MU	9	104.99	44208.6	0.897612
1	MU	10	116.59	43900.5	0.891356
1	MU	11	128.2	43572.9	0.884704
1	MU	12	139.81	43278.7	0.878732
1	MU	13	151.43	43020.4	0.873486
1	MU	14	163.05	42797.4	0.868959
1	MU	15	174.7	42615.8	0.865272
1	MU	16	186.35	42473.2	0.862377
1	MU	17	198.03	42355.1	0.859978
1	MU	18	209.73	42252.2	0.857888
1	MU	19	221.48	42160.5	0.856027
1	MU	20	233.27	42077.4	0.854341
1	MU	21	245.1	42003.8	0.852846
1	MU	22	256.99	41940.4	0.851558
1	MU	23	268.92	41887.3	0.85048
1	MU	24	280.93	41841.6	0.849553
1	MU	25	293	41799.8	0.848703
1	MU	26	305.19	41762.7	0.84795
1	MU	27	317.39	41733.3	0.847354
1	MU	28	329.64	41709.9	0.846879
1	MU	29	341.95	41689.4	0.846462
#1	HALS	1	12.36	2.55E+06	51.8087
1	HALS	2	24.77	47423.4	0.962885
1	HALS	3	37.07	47102.1	0.956362
1	HALS	4	49.34	46323.6	0.940555
1	HALS	5	61.61	44699.2	0.907573
1	HALS	6	73.86	43665.1	0.886576
1	HALS	7	86.07	42908.7	0.871218
1	HALS	8	98.3	42445.6	0.861817
1	HALS	9	110.53	42171.5	0.856251
1	HALS	10	122.74	42002.7	0.852823
1	HALS	11	134.93	41869.9	0.850127
1	HALS	12	147.1	41724.2	0.847168
1	HALS	13	159.3	41586.6	0.844374
1	HALS	14	171.48	41503	0.842676
1	HALS	15	183.66	41455.5	0.841714
1	HALS	16	195.85	41424.4	0.841082
1	HALS	17	208.03	41405	0.840688
1	HALS	18	220.22	41392.5	0.840434
1	HALS	19	232.44	41383.6	0.840253
1	HALS	20	244.62	41376.4	0.840107
1	HALS	21	256.82	41370.2	0.83998
