alg-p allgather allreduce comm comp d err_communication err_compute gram krp mttkrp multittv nnls reducescatter total_time
0-128 0.0897719 0.284204 0.869648 7.90103 0.0 0.00870819 0.00870819 0.119146 0.0 7.58847 0.109442 0.0441765 0.484613 8.770678
0-16 0.0216663 0.142203 0.731957 43.642 0.0 0.00618481 0.00618481 0.0456397 0.0 43.2902 0.25413 0.0265665 0.566686 44.373957
0-32 0.0158309 0.155317 0.777436 23.0165 0.0 0.00850865 0.00850865 0.0469893 0.0 22.7358 0.190554 0.0176175 0.604162 23.793936
0-64 0.0695318 0.21045 0.717377 12.8785 0.0 0.011185 0.011185 0.109162 0.0 12.5397 0.142478 0.0420819 0.432127 13.595877
1-128 0.0875 0.292804 0.879911 9.46875 0.0 0.00940893 0.00940893 0.0888632 0.0 7.49806 0.10966 1.7321 0.49237 10.348661
1-16 0.0214036 0.0650544 0.636679 43.8147 0.0 0.00649649 0.00649649 0.0489604 0.0 43.1377 0.254662 0.348305 0.548768 44.451379
1-32 0.0169298 0.165615 0.67022 23.4474 0.0 0.00828941 0.00828941 0.0459686 0.0 22.8829 0.190753 0.302021 0.486224 24.11762
1-64 0.0526152 0.217853 0.772601 14.4902 0.0 0.0112717 0.0112717 0.116755 0.0 12.4959 0.138073 1.69724 0.493048 15.262801
2-128 0.0462679 0.269174 0.756135 7.82858 0.0 0.00740932 0.00740932 0.0520106 0.0 7.56569 0.110209 0.0766551 0.437652 8.584715
2-16 0.0181625 0.128905 0.740648 43.7233 0.0 0.00761518 0.00761518 0.0443395 0.0 43.1894 0.258966 0.204694 0.592171 44.463948
2-32 0.0133552 0.163466 0.687261 23.2668 0.0 0.00756998 0.00756998 0.0445801 0.0 22.8725 0.200533 0.125394 0.509438 23.954061
2-64 0.0274326 0.148927 0.612309 12.7941 0.0 0.00718656 0.00718656 0.049893 0.0 12.4861 0.142483 0.0906871 0.433343 13.406409
4-128 0.045319 0.235597 0.751509 8.50915 0.0 0.00771131 0.00771131 0.0502115 0.0 7.51262 0.110212 0.81177 0.467881 9.260659
4-16 0.0185859 0.0880408 0.624917 44.1704 0.0 0.00697704 0.00697704 0.044345 0.0 43.1934 0.254066 0.653096 0.516936 44.795317
4-32 0.0130426 0.153658 0.743436 23.4863 0.0 0.00746183 0.00746183 0.0448403 0.0 22.8139 0.19163 0.412238 0.575774 24.229736
4-64 0.0271409 0.185404 0.60298 13.5426 0.0 0.0080773 0.0080773 0.0494091 0.0 12.5739 0.137996 0.754875 0.387739 14.14558
5-128 0.047047 0.231682 0.666577 8.72143 0.0 0.00814183 0.00814183 0.0517634 0.0 7.58369 0.10955 0.951114 0.384767 9.388007
5-16 0.0188109 0.133227 0.828737 44.4461 0.0 0.0065168 0.0065168 0.0451354 0.0 43.1369 0.255421 0.983221 0.675147 45.274837
5-32 0.0131382 0.152663 0.715828 23.706 0.0 0.0093702 0.0093702 0.0449794 0.0 22.8058 0.193942 0.635569 0.54904 24.421828
5-64 0.0289054 0.157853 0.566202 13.7102 0.0 0.0084112 0.0084112 0.0548456 0.0 12.5763 0.13919 0.913302 0.376756 14.276402
