runs	algo	iter	totaltime	err	relerr
1	MU	1	2.55	964.703	1
1	MU	2	3.59	964.602	0.999895
1	MU	3	4.73	964.462	0.99975
1	MU	4	6.02	964.316	0.999599
1	MU	5	7.51	964.204	0.999482
1	MU	6	9.13	964.15	0.999427
1	MU	7	10.65	964.113	0.999389
1	MU	8	12.03	964.085	0.999359
1	MU	9	13.29	964.067	0.99934
1	MU	10	14.45	964.054	0.999327
1	MU	11	15.58	964.038	0.99931
1	MU	12	16.7	964.021	0.999293
1	MU	13	17.81	964.008	0.99928
1	MU	14	18.91	964	0.999272
1	MU	15	19.99	963.996	0.999267
1	MU	16	21.07	963.994	0.999265
1	MU	17	22.15	963.993	0.999264
1	MU	18	23.23	963.992	0.999263
1	MU	19	24.3	963.991	0.999262
1	MU	20	25.47	963.99	0.999261
1	MU	21	26.6	963.989	0.99926
1	MU	22	27.66	963.987	0.999258
1	MU	23	28.72	963.986	0.999256
1	MU	24	29.77	963.984	0.999254
1	MU	25	30.83	963.982	0.999253
1	MU	26	31.88	963.981	0.999252
1	MU	27	32.94	963.98	0.999251
1	MU	28	33.99	963.98	0.99925
1	MU	29	35.04	963.98	0.99925
1	HALS	1	2.32	964.703	1
1	HALS	2	3.46	964.648	0.999943
1	HALS	3	4.6	964.425	0.999712
1	HALS	4	5.75	964.104	0.999379
1	HALS	5	6.9	964.011	0.999282
1	HALS	6	8.04	963.974	0.999244
1	HALS	7	9.19	963.957	0.999227
1	HALS	8	10.34	963.95	0.99922
1	HALS	9	11.49	963.948	0.999217
1	HALS	10	12.64	963.946	0.999216
1	HALS	11	13.78	963.946	0.999215
1	HALS	12	14.93	963.945	0.999215
1	HALS	13	16.07	963.945	0.999214
1	HALS	14	17.22	963.945	0.999214
1	HALS	15	18.36	963.944	0.999214
1	HALS	16	19.5	963.944	0.999213
1	HALS	17	20.64	963.943	0.999212
1	HALS	18	21.79	963.943	0.999212
1	HALS	19	22.93	963.942	0.999211
1	HALS	20	24.08	963.942	0.999211
1	HALS	21	25.21	963.942	0.999211
1	HALS	22	26.36	963.942	0.999211
1	HALS	23	27.5	963.941	0.999211
1	HALS	24	28.65	963.941	0.99921
1	HALS	25	29.79	963.941	0.99921
1	HALS	26	30.94	963.941	0.99921
1	HALS	27	32.08	963.941	0.99921
1	HALS	28	33.23	963.941	0.99921
1	HALS	29	34.37	963.941	0.99921
1	BPP	1	3.35	964.565	0.999857
1	BPP	2	4.99	964.131	0.999407
1	BPP	3	6.71	964.051	0.999324
1	BPP	4	8.34	963.952	0.999221
1	BPP	5	9.98	963.944	0.999213
1	BPP	6	11.62	963.941	0.99921
1	BPP	7	13.27	963.94	0.999209
1	BPP	8	14.93	963.938	0.999207
1	BPP	9	16.57	963.936	0.999205
1	BPP	10	18.22	963.934	0.999203
1	BPP	11	19.86	963.932	0.999201
1	BPP	12	21.51	963.931	0.9992
1	BPP	13	23.14	963.93	0.999199
1	BPP	14	24.79	963.93	0.999199
1	BPP	15	26.43	963.929	0.999198
1	BPP	16	28.07	963.929	0.999197
1	BPP	17	29.71	963.928	0.999197
1	BPP	18	31.35	963.927	0.999196
1	BPP	19	33	963.926	0.999195
1	BPP	20	34.64	963.925	0.999194
1	BPP	21	36.29	963.924	0.999193
1	BPP	22	38.01	963.924	0.999192
1	BPP	23	39.65	963.923	0.999192
1	BPP	24	41.29	963.923	0.999191
1	BPP	25	42.94	963.923	0.999191
1	BPP	26	44.6	963.923	0.999191
1	BPP	27	46.25	963.923	0.999191
1	BPP	28	47.94	963.922	0.999191
1	BPP	29	49.59	963.922	0.999191
2	MU	1	2.08	964.703	1
2	MU	2	3.15	964.603	0.999896
2	MU	3	4.3	964.452	0.99974
2	MU	4	5.57	964.297	0.99958
2	MU	5	7.07	964.206	0.999484
2	MU	6	8.68	964.162	0.999439
2	MU	7	10.21	964.107	0.999382
2	MU	8	11.58	964.073	0.999347
2	MU	9	12.83	964.048	0.999321
2	MU	10	14.01	964.032	0.999304
2	MU	11	15.13	964.02	0.999292
2	MU	12	16.24	964.012	0.999283
2	MU	13	17.35	964.006	0.999278
2	MU	14	18.44	964.003	0.999274
2	MU	15	19.53	964	0.999271
2	MU	16	20.61	963.998	0.999269
2	MU	17	21.69	963.996	0.999267
2	MU	18	22.77	963.995	0.999266
2	MU	19	23.84	963.994	0.999265
2	MU	20	24.9	963.993	0.999264
2	MU	21	25.96	963.993	0.999264
2	MU	22	27.01	963.992	0.999263
2	MU	23	28.08	963.992	0.999263
2	MU	24	29.13	963.991	0.999262
