alg-p allgather allreduce comm comp d err_communication err_compute gram krp mttkrp multittv nnls reducescatter total_time
0-1 0.00126237 0.00108449 0.00652792 2.05052 0.0 0.00560026 0.00560026 0.0296843 0.0 1.80198 0.106995 0.0961751 0.00415099 2.05704792
0-27 0.0162311 0.113899 0.547201 2.01488 0.0 0.00698737 0.00698737 0.0270821 0.0 1.84322 0.107219 0.0171579 0.416001 2.562081
0-64 0.0121068 0.0914133 0.53841 1.97256 0.0 0.00783469 0.00783469 0.0277366 0.0 1.80263 0.107007 0.0132184 0.433594 2.51097
0-8 0.00654402 0.048526 0.361499 1.98445 0.0 0.00605344 0.00605344 0.0268215 0.0 1.80438 0.106293 0.0289957 0.305812 2.345949
1-1 0.00127191 0.00109248 0.00652977 2.10696 0.0 0.00532675 0.00532675 0.0313033 0.0 1.8029 0.106211 0.15108 0.00413254 2.11348977
1-27 0.0160664 0.106192 0.509898 2.16848 0.0 0.00700506 0.00700506 0.029115 0.0 1.80247 0.107058 0.209733 0.386527 2.678378
1-64 0.0121097 0.100295 0.645165 2.1993 0.0 0.00772289 0.00772289 0.0286039 0.0 1.80389 0.107045 0.237946 0.531469 2.844465
1-8 0.00661728 0.05688 0.363823 2.1073 0.0 0.00640822 0.00640822 0.0276474 0.0 1.80274 0.106098 0.152493 0.299707 2.471123
2-1 0.00128284 0.00109651 0.00660725 2.73502 0.0 0.00544818 0.00544818 0.0293675 0.0 1.80397 0.108131 0.778206 0.00419263 2.74162725
2-27 0.0163459 0.114942 0.531242 2.07865 0.0 0.00647665 0.00647665 0.0278772 0.0 1.80092 0.107333 0.123212 0.398867 2.609892
2-64 0.0141105 0.116977 0.581502 2.15028 0.0 0.00733175 0.00733175 0.0282033 0.0 1.90832 0.105541 0.087288 0.449127 2.731782
2-8 0.00657862 0.046657 0.361536 2.20312 0.0 0.0059217 0.0059217 0.0266136 0.0 1.80693 0.106534 0.2452 0.307676 2.564656
4-1 0.00131319 0.00109131 0.00660034 3.30236 0.0 0.00547705 0.00547705 0.030399 0.0 1.79762 0.107247 1.35149 0.0041611 3.30896034
4-27 0.0160654 0.117353 0.529798 2.36841 0.0 0.00654862 0.00654862 0.0278242 0.0 1.79997 0.107255 0.413676 0.395283 2.898208
4-64 0.0121484 0.102291 0.546183 2.4473 0.0 0.00749601 0.00749601 0.0285784 0.0 1.90929 0.105535 0.382505 0.430401 2.993483
4-8 0.00646375 0.0542768 0.42677 2.46764 0.0 0.00576578 0.00576578 0.0265084 0.0 1.80238 0.106071 0.514407 0.365417 2.89441
5-1 0.00128235 0.00110519 0.00658775 28.5411 0.0 0.00578006 0.00578006 0.0309809 0.0 1.79972 0.107343 26.5875 0.00416593 28.54768775
5-27 0.0158103 0.12059 0.608282 9.21305 0.0 0.00730333 0.00730333 0.0276819 0.0 1.80312 0.106878 7.2548 0.470796 9.821332
5-64 0.0121153 0.108766 0.617807 7.02125 0.0 0.00703368 0.00703368 0.0285208 0.0 1.88199 0.106929 4.9826 0.49565 7.639057
5-8 0.00640945 0.0740772 0.393901 13.66 0.0 0.00577033 0.00577033 0.0262275 0.0 1.8051 0.106284 11.7048 0.312761 14.053901
