alg-p allgather allreduce comm comp d err_communication err_compute gram krp mttkrp multittv nnls reducescatter total_time
0-1 0.00190445 0.00133236 0.00893468 43.6515 0.0 0.00526689 0.00526689 0.0481628 0.0 43.1919 0.25139 0.140241 0.00566764 43.66043468
0-16 0.0229384 0.122115 0.655014 43.5648 0.0 0.00745095 0.00745095 0.0684218 0.0 43.1728 0.257569 0.0321718 0.507092 44.219814
0-256 0.282511 0.444847 1.61591 44.0 0.0 0.0151628 0.0151628 0.221354 0.0 43.3253 0.245995 0.112678 0.874225 45.61591
0-81 0.112262 0.210625 1.26177 53.7986 0.0 0.00976177 0.00976177 0.107498 0.0 53.3144 0.273913 0.0519448 0.932287 55.06037
1-1 0.00152232 0.00145601 0.0088682 43.6 0.0 0.00560488 0.00560488 0.0519419 0.0 43.0803 0.246004 0.201879 0.00585641 43.6088682
1-16 0.0249485 0.164693 0.615227 44.2642 0.0 0.00695885 0.00695885 0.0637061 0.0 43.3733 0.259195 0.532022 0.423151 44.879427
1-256 0.231526 0.374298 1.50786 50.5895 0.0 0.00965513 0.00965513 0.191967 0.0 43.2849 0.241366 6.80501 0.894096 52.09736
1-81 0.0784476 0.205594 1.50378 55.463 0.0 0.00940556 0.00940556 0.104559 0.0 53.0253 0.27479 2.01819 1.21141 56.96678
2-1 0.00155192 0.00146337 0.00898707 44.4549 0.0 0.00557781 0.00557781 0.0481177 0.0 43.0381 0.248673 1.1004 0.00593761 44.46388707
2-16 0.0290086 0.143912 0.859467 43.6698 0.0 0.00624291 0.00624291 0.0512616 0.0 43.1227 0.26052 0.208373 0.684117 44.529267
2-256 0.264497 0.375863 1.78031 43.7725 0.0 0.012103 0.012103 0.216015 0.0 43.0424 0.2491 0.17317 1.12965 45.55281
2-81 0.093053 0.222442 1.47617 53.5516 0.0 0.0116667 0.0116667 0.0875986 0.0 53.0135 0.274626 0.128791 1.1516 55.02777
4-1 0.00152241 0.00145499 0.00870029 45.3335 0.0 0.0051841 0.0051841 0.0495689 0.0 43.0899 0.244238 1.93023 0.00568685 45.34220029
4-16 0.0249844 0.144279 0.652539 44.4325 0.0 0.00764999 0.00764999 0.0517328 0.0 43.1681 0.266826 0.915725 0.4815 45.085039
4-256 0.210232 0.35451 1.62806 50.5162 0.0 0.00945294 0.00945294 0.138504 0.0 43.0933 0.245936 6.98458 1.0531 52.14426
4-81 0.071311 0.179758 1.49066 55.9902 0.0 0.0105447 0.0105447 0.10817 0.0 52.9794 0.274619 2.59107 1.23406 57.48086
5-1 0.00154767 0.00145774 0.00871756 48.436 0.0 0.00516114 0.00516114 0.0499896 0.0 43.0064 0.245359 5.11529 0.00567704 48.44471756
5-16 0.0279741 0.127997 0.879541 45.09 0.0 0.00900655 0.00900655 0.0731498 0.0 43.1398 0.257592 1.58523 0.720807 45.969541
5-256 0.139963 0.306537 1.33454 50.866 0.0 0.0097015 0.0097015 0.134499 0.0 43.2929 0.242247 7.14591 0.880906 52.20054
5-81 0.0973774 0.174823 1.35955 55.9589 0.0 0.0147236 0.0147236 0.0986613 0.0 53.0804 0.273567 2.45599 1.08044 57.31845
