alg-p allgather allreduce comm comp d err_communication err_compute gram krp mttkrp multittv nnls reducescatter total_time
0-1 0.00301844 0.00145927 0.00957847 44.0447 0.0 0.00519238 0.00519238 0.047788 0.0 43.5371 0.245015 0.19597699999999998 0.00506912 44.05427847
0-16 0.162657 0.134048 0.7857529999999999 43.8268 0.0 0.0057048 0.0057048 0.0440453 0.0 43.4861 0.239125 0.035744599999999994 0.488177 44.612553
0-256 0.05836659999999999 0.22568200000000002 1.15364 43.7464 0.0 0.00706058 0.00706058 0.0504961 0.0 43.4058 0.24785500000000002 0.0150584 0.867389 44.900040000000004
0-81 0.0351171 0.10345499999999999 1.04609 53.8231 0.0 0.00635305 0.00635305 0.048598199999999994 0.0 53.4537 0.275971 0.019180900000000004 0.9058229999999999 54.869189999999996
1-1 0.00306034 0.00148516 0.0093735 44.105 0.0 0.00509611 0.00509611 0.0519665 0.0 43.5564 0.24455700000000002 0.233231 0.00479748 44.1143735
1-16 0.30229 0.13843 0.8411930000000001 44.1868 0.0 0.0059061999999999995 0.0059061999999999995 0.0472918 0.0 43.6421 0.243054 0.2325 0.399575 45.027992999999995
1-256 0.058987599999999994 0.251179 1.01988 44.3886 0.0 0.00672871 0.00672871 0.0527219 0.0 43.532 0.24570300000000003 0.530862 0.707275 45.40848
1-81 0.0348497 0.11459200000000001 1.06873 54.1135 0.0 0.00668762 0.00668762 0.0508584 0.0 53.3854 0.276292 0.37493000000000004 0.9175979999999999 55.182230000000004
2-1 0.00303128 0.00147975 0.00933939 45.0328 0.0 0.00524216 0.00524216 0.046299 0.0 43.5451 0.24956599999999998 1.1728 0.00479592 45.04213939
2-16 0.18379500000000001 0.08940269999999999 0.999287 43.8875 0.0 0.00580983 0.00580983 0.044760900000000006 0.0 43.3619 0.24533200000000002 0.21366999999999997 0.725204 44.886787000000005
2-256 0.0588569 0.248871 1.06782 44.0511 0.0 0.00695341 0.00695341 0.0510643 0.0 43.6373 0.255237 0.0796799 0.757808 45.118919999999996
2-81 0.0356176 0.142851 0.9364110000000001 54.0492 0.0 0.0063231 0.0063231 0.0487548 0.0 53.5921 0.27564099999999997 0.10697100000000001 0.756266 54.985611
4-1 0.00313997 0.00207751 0.0157023 45.9181 0.0 0.00514917 0.00514917 0.0533174 0.0 43.5337 0.254295 2.05792 0.010449600000000002 45.9338023
4-16 0.11158699999999999 0.06400840000000001 0.885307 44.167 0.0 0.00557452 0.00557452 0.043695300000000006 0.0 43.3413 0.243571 0.516849 0.7088220000000001 45.052307
4-256 0.0593303 0.23596999999999999 1.0457299999999998 44.5596 0.0 0.00707356 0.00707356 0.052432000000000006 0.0 43.5464 0.2473 0.685353 0.748141 45.60533
4-81 0.0379035 0.14689000000000002 0.882971 54.5913 0.0 0.00617849 0.00617849 0.0469797 0.0 53.7087 0.274253 0.535492 0.696375 55.474270999999995
5-1 0.00635573 0.00312931 0.0148363 58.7305 0.0 0.00508425 0.00508425 0.0833535 0.0 53.6967 0.276835 4.6376599999999994 0.00531697 58.7453363
5-16 0.324108 0.196322 0.969348 58.5372 0.0 0.00548272 0.00548272 0.0678814 0.0 57.3493 0.282956 0.792816 0.44796499999999995 59.506547999999995
5-256 0.145124 0.435913 1.23415 61.6481 0.0 0.00629009 0.00629009 0.0790189 0.0 60.5003 0.302374 0.7081970000000001 0.650898 62.88225
5-81 0.0663779 0.268439 1.4154799999999998 60.7346 0.0 0.00619798 0.00619798 0.0726691 0.0 59.703 0.293383 0.620476 1.07886 62.15008
6-1 0.00302106 0.00143485 0.009478499999999999 43.8708 0.0 0.005085899999999999 0.005085899999999999 0.0477595 0.0 43.5178 0.246586 0.0397513 0.0049922 43.8802785
6-16 0.193676 0.134486 0.986439 43.6844 0.0 0.00570506 0.00570506 0.0438059 0.0 43.3592 0.247023 0.0127243 0.657393 44.670838999999994
6-256 0.0585634 0.23850100000000002 0.9300430000000001 44.0106 0.0 0.00718825 0.00718825 0.050551599999999995 0.0 43.6742 0.246804 0.0117634 0.630791 44.940642999999994
6-81 0.034729 0.149609 1.17818 53.7677 0.0 0.00646398 0.00646398 0.0490188 0.0 53.4058 0.27574099999999996 0.0115993 0.9921760000000001 54.945879999999995
