algo,p,alg-p,entity,time
N,64,N64,d,0
N,64,N64,comm,0.0104436
N,64,N64,comp,0.191546
N,64,N64,allgather,0.00420416
N,64,N64,allreduce,0.0019734
N,64,N64,reducescatter,0.00389933
N,64,N64,gram,0.00191984
N,64,N64,krp,0.0936818
N,64,N64,mttkrp,0.0848957
N,64,N64,multittv,0
N,64,N64,nnls,0.00945349
N,64,N64,err_compute,0.000344008
N,64,N64,err_communication,0.000344008
N,64,N64,d,0
N,64,N64,comm,0.0127542
N,64,N64,comp,0.194926
N,64,N64,allgather,0.00530733
N,64,N64,allreduce,0.00235671
N,64,N64,reducescatter,0.00470673
N,64,N64,gram,0.00186084
N,64,N64,krp,0.096562
N,64,N64,mttkrp,0.085079
N,64,N64,multittv,0
N,64,N64,nnls,0.00968323
N,64,N64,err_compute,0.000367891
N,64,N64,err_communication,0.000367891
N,64,N64,d,0
N,64,N64,comm,0.0111688
N,64,N64,comp,0.192658
N,64,N64,allgather,0.00417712
N,64,N64,allreduce,0.00205715
N,64,N64,reducescatter,0.00461569
N,64,N64,gram,0.00181614
N,64,N64,krp,0.0948902
N,64,N64,mttkrp,0.0850683
N,64,N64,multittv,0
N,64,N64,nnls,0.00926742
N,64,N64,err_compute,0.00034102
N,64,N64,err_communication,0.00034102
N,64,N64,d,0
N,64,N64,comm,0.0109528
N,64,N64,comp,0.193194
N,64,N64,allgather,0.00442475
N,64,N64,allreduce,0.00215281
N,64,N64,reducescatter,0.00387677
N,64,N64,gram,0.00186589
N,64,N64,krp,0.0954957
N,64,N64,mttkrp,0.084962
N,64,N64,multittv,0
N,64,N64,nnls,0.00918772
N,64,N64,err_compute,0.000409737
N,64,N64,err_communication,0.000409737
N,64,N64,d,0
N,64,N64,comm,0.0137769
N,64,N64,comp,0.199682
N,64,N64,allgather,0.00503729
N,64,N64,allreduce,0.00311434
N,64,N64,reducescatter,0.00525377
N,64,N64,gram,0.00206265
N,64,N64,krp,0.0949135
N,64,N64,mttkrp,0.090598
N,64,N64,multittv,0
N,64,N64,nnls,0.0101335
N,64,N64,err_compute,0.000531655
N,64,N64,err_communication,0.000531655
D,64,D64,d,0
D,64,D64,comm,0.0208837
D,64,D64,comp,0.072017
D,64,D64,allgather,0.00493077
D,64,D64,allreduce,0.00291989
D,64,D64,reducescatter,0.0125852
D,64,D64,gram,0.00203517
D,64,D64,krp,0
D,64,D64,mttkrp,0.0344882
D,64,D64,multittv,0.0184592
D,64,D64,nnls,0.0152268
D,64,D64,err_compute,0.000419253
D,64,D64,err_communication,0.000419253
D,64,D64,d,0
D,64,D64,comm,0.0233295
D,64,D64,comp,0.0708639
D,64,D64,allgather,0.00518772
D,64,D64,allreduce,0.00305704
D,64,D64,reducescatter,0.0146252
D,64,D64,gram,0.00199667
D,64,D64,krp,0
D,64,D64,mttkrp,0.0341932
D,64,D64,multittv,0.0187697
D,64,D64,nnls,0.0141513
D,64,D64,err_compute,0.00036861
D,64,D64,err_communication,0.00036861
D,64,D64,d,0
D,64,D64,comm,0.0218251
D,64,D64,comp,0.071517
D,64,D64,allgather,0.00502728
D,64,D64,allreduce,0.00324375
D,64,D64,reducescatter,0.0131508
D,64,D64,gram,0.00194403
D,64,D64,krp,0
D,64,D64,mttkrp,0.0345327
D,64,D64,multittv,0.0195296
D,64,D64,nnls,0.0137466
D,64,D64,err_compute,0.000373908
D,64,D64,err_communication,0.000373908
D,64,D64,d,0
D,64,D64,comm,0.0192173
D,64,D64,comp,0.0718178
D,64,D64,allgather,0.00442018
D,64,D64,allreduce,0.00209977
D,64,D64,reducescatter,0.012331
D,64,D64,gram,0.00188918
D,64,D64,krp,0
D,64,D64,mttkrp,0.0342248
D,64,D64,multittv,0.0196024
D,64,D64,nnls,0.0143679
D,64,D64,err_compute,0.000376173
D,64,D64,err_communication,0.000376173
D,64,D64,d,0
D,64,D64,comm,0.0199917
D,64,D64,comp,0.0709257
D,64,D64,allgather,0.00439189
D,64,D64,allreduce,0.00213263
D,64,D64,reducescatter,0.0130818
D,64,D64,gram,0.00185088
D,64,D64,krp,0
D,64,D64,mttkrp,0.0341619
D,64,D64,multittv,0.0191064
D,64,D64,nnls,0.0140854
D,64,D64,err_compute,0.000350952
D,64,D64,err_communication,0.000350952
